lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness
1,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",60000,120.5,126.33834096298092,123.4063217396183,93.4847165160542,162.49749262921162,28.10852578185308,0.1043106723603247
10,1,0.0,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.79999999999998,126.49472279141838,123.31905835286884,94.32643134999554,162.61520217729594,27.64102266715414,0.11488954214140536
3,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12534",59900,120.2,126.40110515345081,122.94991659792652,93.62319287920496,162.9674984903565,27.931427403333984,0.12355933356676044
11,1,0.0,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.79999999999998,125.76493584358636,122.92975730557835,94.29807232686112,160.64197375289393,26.812579286276733,0.10574061181272162
0,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",60000,120.59999999999998,126.52426355829746,122.8317189165131,93.76977426815611,163.64924582253903,28.464530857956074,0.1297244159832084
23,2,0.3299999999999999,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-103619,123617-86080,123617-12548",60000,119.5,125.70164565655996,122.70189411453524,94.74730122101607,160.26377817120803,27.227726695827332,0.11017267712197358
16,1,0.0,"123617-138820,123617-55050,123617-6654,123617-167620,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",60000,119.59999999999998,125.71019298598846,122.69889920562031,94.12436792560486,161.23357679976246,27.195075215531297,0.11072937862839144
14,1,0.0,"123617-138820,123617-55050,123617-89951,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.7,126.41877262190818,122.65020061376708,94.56718290152054,163.59491487972568,28.061956663767585,0.13429469845226127
29,2,0.39,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12539",59900,119.4,125.76486671305746,122.6120383805169,93.16987296826166,161.8913835242001,27.677715041991448,0.11391216102041712
47,2,0.5700000000000001,"123617-138820,123617-152647,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12548",59900,119.1,125.9379995262112,122.57948734065315,94.84032905630667,160.97670684714893,27.26079551267625,0.12319934625518722
4,1,0.0,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",60000,120.1,126.11983139707358,122.57344231996598,93.76435415508871,162.87933078187356,27.824247673678325,0.12745678225336102
25,2,0.35,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12548",59800,119.4,125.951909547169,122.5681043826156,93.679370168158,161.35026681255428,27.782467803427753,0.12179642170361503
32,2,0.42,"123617-138820,123617-152647,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12548",60000,119.29999999999998,125.73038477404823,122.55102169666458,94.04025061851692,161.76154651886364,27.25211550237241,0.11666481734626725
61,2,0.71,"123617-138820,123617-152316,123617-152647,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",60000,119.1,125.81674870449528,122.54304405354847,93.0911103124235,162.04692108141862,27.82815783096909,0.11764000588294808
19,1,0.0,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",59900,119.5,125.7615122731478,122.53966004596009,93.40888623022451,162.37300267877544,27.458817834084492,0.1173339743413295
35,2,0.45,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12539",59900,119.3,125.5826373858487,122.39781757482112,94.02795504233627,161.37039119309085,27.703691946307945,0.11496012218154986
48,2,0.58,"123617-138820,123617-55050,123617-89951,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12548",60000,119.1,125.30284089044859,122.30391647677095,93.85222801020873,161.3639080265879,27.289966269724324,0.10989110004890953
60,2,0.7,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",59900,119.09999999999998,125.05189656875883,122.28458951780468,92.75656176328731,159.53613043537308,27.355899414083684,0.10115942484893996
41,2,0.51,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-40845,123617-12542",60000,119.29999999999998,125.71428450273928,122.22867337898114,93.08060757712512,161.99257771455777,28.11635667556018,0.12397093848179698
8,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-110484,123617-151903,123617-103619,123617-86080,123617-12548",60000,119.89999999999998,125.20136191389223,122.2016573803179,93.67313402614423,160.7455665261472,26.95052000294544,0.11130414304608932
65,2,0.75,"123617-138820,123617-55050,123617-90573,123617-129471,123617-103539,123617-110484,123617-151903,123617-40845,123617-12548",59900,119.09999999999998,125.50140535118086,122.18957941672906,93.69786735824142,161.4118406584643,27.293267685157687,0.12134222888426083
70,2,0.8,"123617-138820,123617-55050,123617-152647,123617-102965,123617-167620,123617-103539,123617-151903,123617-86080,123617-12534",59900,119.0,125.03019224262935,122.10003367525718,93.09188678725396,161.9328075798758,27.378777656434117,0.10702298707932187
7,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12539",60000,119.9,124.82780891785991,121.85879792989087,93.30923172546993,159.99460509258063,27.012020134050406,0.10991443710003797
20,2,0.3,"123617-138820,123617-55050,123617-152316,123617-90573,123617-57403,123617-103539,123617-110484,123617-86080,123617-12534",60000,119.5,124.62093733872615,121.83176089302756,91.91971818718719,161.32903375996997,28.302916395655167,0.09854731599768136
37,2,0.47,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12542",60000,119.29999999999998,125.29648433182325,121.78341492352641,93.14041821750928,162.8338544428366,28.124516098130382,0.12491128366579718
97,2,1.07,"123617-138820,123617-55050,123617-90573,123617-129471,123617-86518,123617-110484,123617-151903,123617-86080,123617-12550",60000,118.89999999999998,124.96424171976507,121.73914951740514,93.92662075171985,160.13499925579333,27.164981896388486,0.11872241309274346
45,2,0.55,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-120639,123617-86080,123617-12548",59800,119.09999999999998,124.8278194868196,121.70720393727862,93.27800127106066,160.55409141574194,27.155977504538157,0.11491449899085703
92,2,1.02,"123617-138820,123617-55050,123617-6654,123617-103539,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",59900,118.89999999999998,124.77302092694013,121.68755372617147,92.74922024904903,159.85342339934252,27.175246160397894,0.11353962288168966
43,2,0.53,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12529",60000,119.2,124.77207501814962,121.68221655298701,92.73878399452607,160.707700440709,27.618011457156417,0.11187838306012282
78,2,0.8799999999999999,"123617-138820,123617-55050,123617-89951,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12539",59900,119.0,124.98585024828616,121.65924023645343,93.00773697671065,160.3823678049158,27.614279135760807,0.12046702343660781
2,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12534",60000,120.39999999999998,125.15300374649807,121.65380347373477,93.42939005039499,160.6775320178074,27.32661971530979,0.12805097407649255
6,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12534",59900,119.89999999999998,124.79129877513107,121.64716810115955,93.00033760431681,160.92343548770594,27.177279900463123,0.11568967481245018
44,2,0.54,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-86312,123617-40845,123617-12539",59900,119.2,124.74234227369074,121.59867054205513,93.08076328639329,160.2871645197397,27.17353501915431,0.1156887291042431
15,1,0.0,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",59900,119.59999999999998,125.13967809715108,121.58081434388843,93.44479725729985,161.6525162511722,27.05085560852994,0.13156196627438382
94,2,1.04,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-103539,123617-86312,123617-40845,123617-12534",60000,118.9,125.35336159954132,121.55885190006305,93.1170915206478,163.57902886043178,28.174198616877288,0.13468030630000707
124,3,2.6913662586503326,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-86518,123617-110484,123617-40845,123617-12525",59900,117.9,124.48979510314804,121.5529930585615,92.77439972509346,159.18661571120822,27.171819847108814,0.10808264080622593
89,2,0.99,"123617-138820,123617-55050,123617-102965,123617-103539,123617-86518,123617-110484,123617-151903,123617-86080,123617-12550",60000,118.89999999999998,124.77942120856103,121.54797115554842,93.73397312208176,159.76681981262084,26.982780525137475,0.11975971305114948
170,3,2.594218048907276,"123617-138820,123617-55050,123617-89951,123617-167620,123617-103539,123617-86518,123617-110484,123617-86080,123617-12538",60000,117.6,125.07496970143974,121.5189250883377,93.0245309637518,160.54854737769338,27.598636074880314,0.1288485635106686
196,3,2.8773112406588597,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-103539,123617-40845,123617-86080,123617-12548",60000,117.6,124.34337848895879,121.51307758879332,91.3676653389709,160.68795196340133,27.75973560425715,0.10195705537380631
87,2,0.97,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12546",59900,118.89999999999998,124.51023048802693,121.50976992085948,92.16302444521656,161.13267510084012,27.53710692985107,0.10896063173269882
13,1,0.0,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-86518,123617-151903,123617-86080,123617-12534",60000,119.7,124.85398375627291,121.48171466914098,92.72409366249816,161.27106197948288,27.833481392412327,0.12115872389758756
68,2,0.78,"123617-138820,123617-55050,123617-6654,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12525",60000,119.0,124.12622956763113,121.45989621160957,92.06801983244485,159.1095996825724,27.365185304055633,0.0974352384753043
76,2,0.8599999999999999,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-103587,123617-12539",59800,119.0,124.45520693060998,121.45243184711148,92.65341405606446,159.716099880203,26.740012161434876,0.11229520261135743
150,3,2.306285818342358,"123617-138820,123617-55050,123617-151966,123617-90573,123617-86518,123617-110484,123617-86312,123617-86080,123617-12538",59900,117.7,124.40576491511119,121.42070273598884,92.98298638429308,159.39515843562071,27.063318618764356,0.11029919209733054
36,2,0.46,"123617-138820,123617-55050,123617-152316,123617-90573,123617-86518,123617-110484,123617-151903,123617-40845,123617-12537",60000,119.29999999999998,124.18735883065172,121.38612558121095,91.58828453471635,159.5989865125252,27.63414674240198,0.10136854506683729
17,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12539",60000,119.59999999999998,124.57731579377665,121.35378488682089,93.10605484463878,160.77492767372763,27.80730789783033,0.11592387579551616
50,2,0.6000000000000001,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-86518,123617-110484,123617-86080,123617-12537",59900,119.1,124.68378528054363,121.34790742331612,92.82165492328868,160.28667686771908,27.83973964060447,0.11982431949047802
51,2,0.6100000000000001,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-151789,123617-86080,123617-12548",60000,119.09999999999998,124.66958681348231,121.33600764101843,92.76269257718869,159.52342871850058,27.6621845371967,0.1205103367010403
9,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",60000,119.89999999999998,125.03293867273703,121.32474665532095,93.27956102141935,161.19229048774403,27.891369033088353,0.13295123710194878
75,2,0.8500000000000001,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-167620,123617-151903,123617-86080,123617-12534",59900,119.0,124.81944410824143,121.29805197060551,93.0099051194692,160.59436679326046,27.573576989420665,0.1277089344986684
42,2,0.52,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-86518,123617-110484,123617-86080,123617-12546",59900,119.2,124.31489633272624,121.2442768397057,92.70661577839323,159.2160813104231,27.064426313206813,0.11345592393074812
64,2,0.74,"123617-138820,123617-55050,123617-6654,123617-167620,123617-57403,123617-110484,123617-151903,123617-86080,123617-12539",60000,119.09999999999998,124.66001495407173,121.15553634881607,93.40644430824388,160.1064346976606,27.037754341081605,0.12961426311692217
74,2,0.8400000000000001,"123617-138820,123617-55050,123617-6654,123617-90573,123617-86518,123617-110484,123617-151903,123617-103587,123617-12539",59900,119.0,124.21080912771215,121.15292794527323,92.71642091281737,159.9424753402193,27.08559026942907,0.11289697407445039
31,2,0.41,"123617-138820,123617-55050,123617-6654,123617-90573,123617-57403,123617-103539,123617-110484,123617-40845,123617-12534",60000,119.29999999999998,124.40510390753164,121.13050676148993,91.3256145297533,161.48232210274287,28.00130664115594,0.1169444407722301
22,2,0.32,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12525",60000,119.5,124.55166740626763,121.12682988004187,91.77986446461516,161.787290383643,28.044647003113894,0.1221208997868822
66,2,0.76,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-103619,123617-86080,123617-12550",59900,118.99999999999996,124.55493621528652,121.12663729120419,93.00517462119066,159.98115622619275,26.797130642738768,0.12793529911051482
21,2,0.31,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12525",60000,119.5,124.69073759452407,121.11478259521213,93.35449559899281,159.79275770668417,26.93240753959916,0.13277517036136285
18,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-86518,123617-110484,123617-151903,123617-86080,123617-12546",60000,119.59999999999998,124.51298957866044,121.1131028420601,92.78817014316449,159.7401207824892,27.190846308695658,0.12503791526021937
88,2,0.98,"123617-138820,123617-6654,123617-152647,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12548",59900,118.9,124.53219394950727,121.11046848456006,93.38930813341096,159.5481041239916,27.15810886423591,0.1259927737256121
54,2,0.64,"123617-138820,123617-55050,123617-45889,123617-90573,123617-129471,123617-110484,123617-151903,123617-86080,123617-12534",59900,119.09999999999998,123.87096524043116,121.10021629846746,92.91956190178001,157.9163172406932,26.91958743573461,0.10292687243362621
34,2,0.4399999999999999,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12534",59900,119.29999999999998,124.18590922581186,121.03521587287699,92.14850694941961,159.96200829761392,27.135153798052933,0.11611112936315629
