lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness,fitness
94,2,1.04,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-103539,123617-86312,123617-40845,123617-12534",60000,118.9,125.35336159954132,121.55885190006305,93.1170915206478,163.57902886043178,28.174198616877288,0.134680306300007,70.46193733978397
31,2,0.41,"123617-138820,123617-55050,123617-6654,123617-90573,123617-57403,123617-103539,123617-110484,123617-40845,123617-12534",60000,119.29999999999998,124.40510390753164,121.13050676148993,91.3256145297533,161.48232210274287,28.00130664115594,0.1169444407722301,70.15670757298957
child_459525,1,0.0,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-86518,123617-103539,123617-86080,123617-152316",59700,120.59999999999998,125.36281159559276,121.82345639645811,92.01061195603816,162.15807983790472,28.258051425245345,0.1252512123313866,70.14746788186656
22,2,0.32,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12525",60000,119.5,124.55166740626764,121.12682988004188,91.77986446461516,161.787290383643,28.044647003113894,0.1221208997868822,70.00742591902785
0,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",60000,120.59999999999998,126.52426355829746,122.8317189165131,93.76977426815613,163.64924582253903,28.46453085795607,0.1297244159832084,69.8794715543829
37,2,0.47,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12542",60000,119.29999999999998,125.29648433182324,121.7834149235264,93.14041821750928,162.8338544428366,28.124516098130385,0.1249112836657971,69.69343622532733
child_452855,3,2.8773112406588597,"123617-138820,123617-55050,123617-110484,123617-12543,123617-90573,123617-167620,123617-103539,123617-86080,123617-6654",60000,117.6,124.91509467477432,121.62444522176955,92.04296770027726,161.6128628325568,28.011378351189254,0.11747545628596556,69.56989513227954
20,2,0.3,"123617-138820,123617-55050,123617-152316,123617-90573,123617-57403,123617-103539,123617-110484,123617-86080,123617-12534",60000,119.5,124.62093733872616,121.83176089302756,91.9197181871872,161.32903375996997,28.302916395655167,0.0985473159976813,69.40931557278277
3,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12534",59900,120.2,126.4011051534508,122.94991659792652,93.62319287920496,162.9674984903565,27.931427403333984,0.1235593335667604,69.34430561115153
106,3,2.424265384939839,"123617-138820,123617-152316,123617-152647,123617-90573,123617-86518,123617-110484,123617-86312,123617-40845,123617-12548",60000,118.2,124.66240522207045,120.76772285644358,92.42245280777912,161.74365863642163,28.02079222379856,0.1389925857384945,69.3212058286425
196,3,2.8773112406588597,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-103539,123617-40845,123617-86080,123617-12548",60000,117.6,124.3433784889588,121.51307758879332,91.3676653389709,160.68795196340133,27.75973560425715,0.1019570553738063,69.32028662443044
4,1,0.0,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",60000,120.1,126.11983139707358,122.57344231996598,93.76435415508872,162.87933078187356,27.824247673678325,0.127456782253361,69.11497662678484
125,3,1.6958398448183658,"123617-138820,123617-55050,123617-45889,123617-102965,123617-167620,123617-110484,123617-103619,123617-40845,123617-12534",60000,117.89999999999998,124.123090575352,120.2657763374163,91.5991151856266,160.71097616322362,27.872332559673904,0.138392229271709,69.11186097759702
113,3,2.547721682791299,"123617-62239,123617-138820,123617-55050,123617-90573,123617-86518,123617-110484,123617-103619,123617-86080,123617-12534",60000,118.1,123.7393311464264,120.62128210751136,91.28325878208824,160.37728611550637,27.90064214169824,0.1117554579238538,69.09402733341813
14,1,0.0,"123617-138820,123617-55050,123617-89951,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.7,126.41877262190818,122.65020061376708,94.56718290152054,163.59491487972568,28.061956663767585,0.1342946984522612,69.02773197820514
1,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",60000,120.5,126.33834096298092,123.4063217396183,93.4847165160542,162.49749262921162,28.10852578185308,0.1043106723603247,69.01277611315741
87,2,0.97,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12546",59900,118.89999999999998,124.51023048802692,121.50976992085948,92.16302444521656,161.13267510084012,27.53710692985107,0.1089606317326988,68.96965065562355
19,1,0.0,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",59900,119.5,125.7615122731478,122.53966004596008,93.40888623022452,162.37300267877544,27.458817834084492,0.1173339743413295,68.96411644855091
61,2,0.71,"123617-138820,123617-152316,123617-152647,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",60000,119.1,125.81674870449528,122.54304405354848,93.0911103124235,162.04692108141862,27.82815783096909,0.117640005882948,68.95581076899512
child_860587,3,1.6958398448183658,"123617-138820,123617-152647,123617-110484,123617-12534,123617-45889,123617-167620,123617-103619,123617-40845,123617-152316",60000,117.89999999999998,122.3366312027626,118.81472621631318,90.45923615378004,159.40431122663205,27.63646403523992,0.12743688852374754,68.945075072852
child_650349,1,0.0,"123617-138820,123617-55050,123617-107293,123617-12539,123617-167620,123617-103539,123617-151903,123617-86080,123617-62239",59600,120.1,122.49470925710249,119.18444087550048,90.05168477751488,158.99297335563722,28.388237890946424,0.11660703965911569,68.94128857812234
41,2,0.51,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-40845,123617-12542",60000,119.29999999999998,125.71428450273928,122.22867337898114,93.08060757712512,161.99257771455777,28.11635667556018,0.1239709384817969,68.91197013743265
mutated_206374,1,0.0,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-103539,123617-103619,123617-86080,123617-152316",59000,120.59999999999998,123.11218567909413,119.76101519382017,90.76756097835778,159.60963701684557,27.91294689426485,0.1200579250183901,68.84207603848779
70,2,0.8,"123617-138820,123617-55050,123617-152647,123617-102965,123617-167620,123617-103539,123617-151903,123617-86080,123617-12534",59900,119.0,125.03019224262935,122.10003367525718,93.09188678725396,161.9328075798758,27.378777656434117,0.1070229870793218,68.84092079262184
mutated_598567,2,0.3,"123617-138820,123617-55050,123617-90912,123617-12534,123617-90573,123617-86518,123617-103539,123617-86080,123617-152316",59600,119.5,120.76772676238217,117.3068973178903,88.87792369576394,157.68399542356445,27.684735830075773,0.12500857749677838,68.80607172780051
69,2,0.79,"123617-138820,123617-55050,123617-6654,123617-152647,123617-103539,123617-86518,123617-151903,123617-86080,123617-12534",60000,119.0,123.90589223013473,120.5855991124476,91.38389996833232,160.15081091797578,27.95053534781488,0.1187917539456606,68.76691094964346
29,2,0.39,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12539",59900,119.4,125.76486671305746,122.6120383805169,93.16987296826166,161.8913835242001,27.677715041991448,0.1139121610204171,68.72151055593845
108,3,2.8008914810967,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-137530,123617-86518,123617-110484,123617-12534",60000,118.2,124.017416365602,120.7751861920627,91.63803885076476,160.35330648590278,27.364916843680383,0.1184812726477571,68.71526763513802
child_779730,2,0.51,"123617-138820,123617-152647,123617-110484,123617-12542,123617-90573,123617-167620,123617-103539,123617-86080,123617-152316",59700,119.29999999999998,123.95099840774014,120.01358467493223,92.18330416946334,160.83268560505047,28.13764817826128,0.1399340025812782,68.64938143558713
