QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,14,"123617-138820,123617-55050,123617-30231,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12548",1,0.0,118.5,60000,125.77005623280996,122.68928114608532,94.14501770054116,161.8028190373855,26.89842961946431,0.11453364119425487,161.8028190373855
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,New York Giants,15,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12543",1,0.0,119.9,60000,125.03120678807412,121.72616494763756,93.65736921212911,161.78022988557132,27.314925779710034,0.12099765040883241,161.78022988557132
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Quentin Johnston,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Seattle Seahawks,16,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-120639,123617-103619,123617-86080,123617-12550",3,2.5786342770311075,116.99999999999996,60000,123.91902491028719,120.1994074560471,91.27911498337953,161.76403063200829,28.341958786661074,0.13124066273043566,161.76403063200829
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Tennessee Titans,17,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12534",1,0.0,120.39999999999998,60000,125.1039627657617,121.81573014118021,92.46069116900858,161.7352814335036,28.263584564485242,0.11634166986424392,161.7352814335036
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,18,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-86312,123617-40845,123617-12539",1,0.0,119.2,59900,125.24167522573124,121.28361971882674,93.09228689208994,161.7091401535069,28.121292231905695,0.14074941771039215,161.7091401535069
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,19,"123617-138820,123617-55050,123617-6654,123617-90573,123617-110484,123617-151903,123617-103619,123617-86080,123617-12548",1,0.0,119.89999999999998,60000,126.31331932879507,122.6534452440743,94.59185114408918,161.44992521004917,27.51044007975247,0.13303582473093245,161.44992521004917
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Stefon Diggs,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,20,"123617-138820,123617-55050,123617-6654,123617-90573,123617-25079,123617-103539,123617-110484,123617-86080,123617-12534",1,0.0,129.89999999999998,60000,124.59154060834223,120.75897690890996,92.76729670681469,161.42533354911978,27.604122451259208,0.1388402658407075,161.42533354911978
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,21,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",1,0.0,120.1,60000,125.66881575476751,122.32835069985009,94.1321219680681,161.40989548375626,27.40874407873031,0.1218758891440662,161.40989548375626
Jaxson Dart,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Alec Pierce,Hunter Henry,TreVeyon Henderson,Miami Dolphins,22,"123617-138820,123617-55050,123617-152647,123617-151966,123617-103539,123617-151903,123617-86312,123617-40845,123617-12539",3,2.941573992402668,117.3,60000,125.15183457498027,121.88766434358968,92.75609620127803,161.2714526439148,27.854133428124744,0.11718800155149366,161.2714526439148
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,23,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12539",1,0.0,128.39999999999998,59900,125.03167814516955,121.43178188486601,92.64339419301056,161.24902755818812,27.893749893306524,0.12905745100867133,161.24902755818812
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,24,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",1,0.0,120.5,60000,125.87129087727148,122.76838717614828,94.10232362776826,161.24257554857877,27.404718883451302,0.11322516075860663,161.24257554857877
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,25,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12531",1,0.0,119.0,59900,124.29724784836883,121.640523938307,91.5214719598614,161.12120146616803,27.279316529284745,0.09738968009736593,161.12120146616803
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Khalil Shakir,Kyle Pitts Sr.,RJ Harvey,Las Vegas Raiders,26,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-86518,123617-110484,123617-86080,123617-12537",1,0.0,119.6,60000,124.38384674641188,121.13571436014799,92.46525470373648,161.1184909988725,27.902421721913765,0.11641041120502095,161.1184909988725
Matthew Stafford,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,27,"123617-138820,123617-55050,123617-6654,123617-103539,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",1,0.0,118.89999999999998,59900,124.34981559858258,120.62064107089527,92.93081530298052,161.0910553287481,26.827837754556647,0.13900391681971888,161.0910553287481
Matthew Stafford,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,28,"123617-138820,123617-55050,123617-6654,123617-167620,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",1,0.0,137.79999999999995,60000,125.83403101141556,122.77629414388755,94.62143420786839,161.090062378638,26.821593482758676,0.11400280410235754,161.090062378638
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Las Vegas Raiders,29,"123617-138820,123617-55050,123617-152316,123617-90573,123617-57403,123617-110484,123617-151903,123617-86080,123617-12537",1,0.0,119.29999999999998,60000,123.50835463071235,119.58143761527126,91.47072317274807,161.0777605238729,27.765343023810576,0.14143232489775134,161.0777605238729
Bo Nix,De'Von Achane,Christian McCaffrey,Courtland Sutton,Wan'Dale Robinson,Troy Franklin,Dalton Schultz,RJ Harvey,Los Angeles Chargers,30,"123617-138820,123617-55050,123617-102965,123617-57403,123617-103539,123617-110484,123617-151903,123617-55042,123617-12548",2,0.8432835820895521,117.6,59900,123.94449988165773,120.40299149124588,92.94817640681188,161.0452838978514,27.63645580836776,0.1281462577896675,161.0452838978514
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,31,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",1,0.0,119.09999999999998,59900,125.49313110322458,122.13886506977938,93.47674542130682,161.02253002201087,27.881156659120386,0.12030584220213704,161.02253002201087
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,New Orleans Saints,32,"123617-138820,123617-55050,123617-152647,123617-89951,123617-167620,123617-86518,123617-151903,123617-86080,123617-12542",2,0.9805970149253732,117.5,60000,123.77778696901984,119.8559890829768,92.03224584647856,160.99936892707822,27.466009011095338,0.1427873224849946,160.99936892707822
