name,position,team,salary,actual_points
Emeka Egbuka,WR,TB,8000,6.2
Adam Trautman,TE,DEN,4200,6.2
Ray Davis,RB,BUF,4300,6.2
Jordan Addison,WR,MIN,6100,6.1
Jake Ferguson,TE,DAL,6200,6.1
Marcus Jones,WR,NE,4000,6.0
Darren Waller,TE,MIA,4000,5.7
AJ Barner,TE,SEA,5400,5.7
Pat Bryant,WR,DEN,5200,5.7
Tua Tagovailoa,QB,MIA,6900,5.68
Luther Burden III,WR,CHI,4900,5.6
Saquon Barkley,RB,PHI,8900,5.6
Tom Kennedy,WR,DET,4200,5.6
Darnell Washington,TE,PIT,4800,5.5
Jaylen Waddle,WR,MIA,7000,5.5
Kenneth Gainwell,RB,PIT,6200,5.5
Josh Downs,WR,IND,5500,5.4
Tyjae Spears,RB,TEN,4700,5.4
Gunnar Helm,TE,TEN,4800,5.3
Jordan Mason,RB,MIN,5500,5.3
Michael Wilson,WR,ARI,7100,5.1
Chicago Bears,D,CHI,3900,5.0
Indianapolis Colts,D,IND,4200,5.0
Pittsburgh Steelers,D,PIT,3800,5.0
Malik Washington,WR,MIA,5500,5.0
Keenan Allen,WR,LAC,6900,5.0
Chig Okonkwo,TE,TEN,4900,4.9
Ryan Flournoy,WR,DAL,4900,4.9
Xavier Hutchinson,WR,HOU,4900,4.9
Tony Pollard,RB,TEN,5200,4.8
DeMario Douglas,WR,NE,5300,4.8
DK Metcalf,WR,PIT,7300,4.7
Colby Parkinson,TE,LAR,4800,4.7
Travis Etienne Jr.,RB,JAC,7300,4.6
Tre' Harris,WR,LAC,5000,4.5
Rachaad White,RB,TB,7000,4.4
Samaje Perine,RB,CIN,4600,4.4
Theo Johnson,TE,NYG,5400,4.4
Isiah Pacheco,RB,KC,5500,4.3
Colston Loveland,TE,CHI,5300,4.3
Dawson Knox,TE,BUF,4800,4.3
Jerry Jeudy,WR,CLE,5400,4.1
Stefon Diggs,WR,NE,6900,4.1
Denver Broncos,D,DEN,4800,4.0
Las Vegas Raiders,D,LV,3200,4.0
New York Jets,D,NYJ,3600,4.0
Philadelphia Eagles,D,PHI,4200,4.0
Jeremy McNichols,RB,WAS,5300,4.0
Ty Johnson,RB,BUF,4800,4.0
Cooper Kupp,WR,SEA,5400,3.9
Tyrone Tracy Jr.,RB,NYG,6100,3.8
Brian Thomas Jr.,WR,JAC,6500,3.8
Deven Thompkins,WR,ATL,4000,3.8
Mack Hollins,WR,NE,5900,3.8
John Metchie III,WR,NYJ,5700,3.7
Kyle Juszczyk,RB,SF,4300,3.7
Dallas Goedert,TE,PHI,5700,3.7
DJ Moore,WR,CHI,6000,3.7
Darnell Mooney,WR,ATL,6400,3.5
Troy Franklin,WR,DEN,6200,3.1
Tennessee Titans,DEF,TEN,3000,3.0
Khalil Shakir,WR,BUF,6300,1.0
Arizona Cardinals,DEF,ARI,3500,2.0
Tre Tucker,WR,LV,5600,3.5
Atlanta Falcons,DEF,ATL,4000,2.0
New York Giants,DEF,NYG,3100,2.0
Cleveland Browns,DEF,CLE,3900,1.0
Los Angeles Rams,DEF,LAR,4600,2.0
Washington Commanders,DEF,WAS,3400,3.0
Parker Washington,WR,JAC,5800,3.1
Houston Texans,DEF,HOU,4300,2.0
Chimere Dike,WR,TEN,5600,0.0
