name,position,team,salary,consensus,p90,ceiling_value_p90
rayray mccloud,WR,NYG,4600,2.9,6.44,1.401
jordan whittington,WR,LAR,5000,2.68,6.05,1.209
isaac teslaa,WR,DET,4200,2.6,5.23,1.244
jahan dotson,WR,PHI,5000,2.65,6.03,1.207
tyquan thornton,WR,KC,4600,2.8,7.46,1.622
van jefferson,WR,TEN,4600,2.84,7.63,1.66
xavier weaver,WR,ARI,4000,2.3,6.38,1.595
gunner olszewski,WR,NYG,4300,2.4,5.44,1.265
demarcus robinson,WR,SF,4800,2.04,5.48,1.141
curtis samuel,WR,BUF,4600,2.3,5.23,1.137
tyrell shavers,WR,BUF,4200,2.1,4.81,1.146
tylan wallace,WR,BAL,4300,2.1,3.4,0.79
jalin hyatt,WR,NYG,4200,2.0,4.49,1.07
gabe davis,WR,BUF,4800,2.2,4.91,1.022
isaiah hodgins,WR,NYG,4000,1.8,4.07,1.017
devontez walker,WR,BAL,4100,1.8,2.91,0.71
david sills v,WR,ATL,4400,1.9,3.54,0.804
cody white,WR,SEA,4000,1.6,3.61,0.902
isaiah bond,WR,CLE,4900,1.8,4.05,0.827
jimmy horn,WR,CAR,4300,1.5,3.37,0.784
bo melton,WR,GB,4000,1.4,2.59,0.646
savion williams,WR,GB,4600,1.5,2.77,0.601
xavier smith,WR,LAR,4200,1.4,3.16,0.753
jalen tolbert,WR,DAL,4800,1.5,3.4,0.708
andre baccellia,WR,ARI,4000,1.2,3.3,0.825
adam thielen,WR,MIN,4500,1.2,2.7,0.601
brian thomas,WR,JAC,6700,1.6,3.57,0.533
jamari thrash,WR,CLE,4400,1.0,2.24,0.509
konata mumpfield,WR,LAR,4300,1.0,2.26,0.526
austin trammell,WR,JAC,4200,0.9,2.04,0.486
kameron johnson,WR,TB,4700,0.9,2.47,0.526
liljordan humphrey,WR,DEN,4200,0.3,0.83,0.197
malachi corley,WR,CLE,4200,0.2,0.45,0.107
trey mcbride,TE,ARI,7700,14.33,21.03,2.731
brock bowers,TE,LV,7200,13.81,20.14,2.798
kyle pitts sr,TE,ATL,5000,8.35,10.37,2.073
george kittle,TE,SF,6600,10.72,14.73,2.231
cade otton,TE,TB,5500,7.98,11.62,2.113
travis kelce,TE,KC,5600,8.58,11.69,2.087
dallas goedert,TE,PHI,5800,8.93,12.18,2.1
harold fannin,TE,CLE,5100,7.33,10.3,2.019
oronde gadsden,TE,LAC,6500,8.7,11.34,1.744
dalton schultz,TE,HOU,5300,8.08,10.38,1.958
theo johnson,TE,NYG,5900,8.2,11.04,1.872
mark andrews,TE,BAL,5800,7.41,9.79,1.687
jake ferguson,TE,DAL,6900,8.59,11.76,1.704
colston loveland,TE,CHI,5200,5.55,13.64,2.624
pat freiermuth,TE,PIT,5000,6.49,11.16,2.232
dawson knox,TE,BUF,4700,6.0,9.8,2.085
isaiah likely,TE,BAL,4800,6.3,8.75,1.824
luke musgrave,TE,GB,5200,5.56,9.61,1.848
michael mayer,TE,LV,4600,6.08,11.04,2.4
jonnu smith,TE,PIT,5100,6.8,11.77,2.308
evan engram,TE,DEN,4900,6.2,10.98,2.24
david njoku,TE,CLE,5000,6.33,9.94,1.989
noah fant,TE,CIN,5100,4.96,11.91,2.335
tj hockenson,TE,MIN,5200,6.33,10.04,1.931
aj barner,TE,SEA,5400,6.01,10.06,1.863
tyler higbee,TE,LAR,4900,4.71,13.66,2.787
elijah arroyo,TE,SEA,4500,3.64,8.44,1.875
chig okonkwo,TE,TEN,4600,5.35,9.77,2.125
darnell washington,TE,PIT,4800,4.22,10.24,2.134
brock wright,TE,DET,4300,3.7,7.71,1.793
terrance ferguson,TE,LAR,4600,3.3,8.48,1.843
jatavion sanders,TE,CAR,4800,4.55,6.06,1.263
elijah higgins,TE,ARI,4500,3.6,8.89,1.976
jackson hawes,TE,BUF,4500,3.3,6.83,1.519
gunnar helm,TE,TEN,4700,3.47,9.13,1.943
cole kmet,TE,CHI,4700,3.1,8.07,1.718
johnny mundt,TE,JAC,4400,2.8,5.78,1.314
davis allen,TE,LAR,4400,2.8,5.78,1.314
daniel bellinger,TE,NYG,4600,2.9,6.0,1.305
tanner hudson,TE,CIN,4200,2.6,6.33,1.508
noah gray,TE,KC,4600,2.72,8.26,1.796
tommy tremble,TE,CAR,4400,2.39,6.7,1.523
colby parkinson,TE,LAR,4800,2.9,5.97,1.244
charlie kolar,TE,BAL,4200,2.5,3.89,0.927
luke schoonmaker,TE,DAL,4200,2.65,8.11,1.931
adam trautman,TE,DEN,4200,2.4,5.82,1.387
luke farrell,TE,SF,4300,2.0,4.08,0.949
mitchell evans,TE,CAR,4100,1.8,3.67,0.896
grant calcaterra,TE,PHI,4400,1.9,3.88,0.882
drew sample,TE,CIN,4200,1.8,4.34,1.033
quintin morris,TE,JAC,4000,1.7,3.46,0.866
tyler conklin,TE,LAC,4500,1.7,2.95,0.656
ross dwelley,TE,DET,4000,1.5,3.08,0.769
jake tonges,TE,SF,4200,1.4,2.88,0.685
cade stover,TE,HOU,4200,1.4,2.43,0.578
charlie woerner,TE,ATL,4200,1.3,2.25,0.535
josh oliver,TE,MIN,4200,1.3,2.67,0.635
tucker fisk,TE,LAC,4300,1.3,2.24,0.522
john fitzpatrick,TE,GB,4900,1.4,2.43,0.496
connor heyward,TE,PIT,4200,1.2,2.45,0.583
kylen granson,TE,PHI,4000,1.1,2.24,0.56
josh whyle,TE,GB,4000,1.0,1.73,0.431
payne durham,TE,TB,4200,1.0,2.42,0.575
brevyn spannford,TE,DAL,4100,1.0,2.04,0.497
ian thomas,TE,LV,4000,0.9,2.17,0.542
nick kallerup,TE,SEA,4200,0.8,1.63,0.388
blake whiteheart,TE,CLE,4000,0.7,1.42,0.356
durham smythe,TE,CHI,4000,0.6,1.22,0.305
david martinrobinson,TE,TEN,4000,0.6,1.22,0.306
josiah deguara,TE,ARI,4000,0.6,1.45,0.361
keleki latu,TE,BUF,4000,0.5,1.02,0.254
teagan quitoriano,TE,ATL,4000,0.5,0.86,0.215
robbie ouzts,TE,SEA,4000,0.5,1.02,0.254
chris manhertz,TE,NYG,4000,0.5,1.02,0.255
thomas fidone,TE,NYG,4000,0.5,1.02,0.255
robert tonyan,TE,KC,4100,0.5,1.01,0.248
zach horton,TE,DET,4000,0.4,0.81,0.202
luke lachey,TE,HOU,4000,0.4,0.68,0.171
marcedes lewis,TE,DEN,4000,0.2,0.48,0.12
falcons,D,ATL,3300,7.6,12.92,3.915
ravens,D,BAL,4500,9.79,19.67,4.371
titans,D,TEN,3100,6.0,10.2,3.29
vikings,D,MIN,3600,6.9,11.73,3.258
texans,D,HOU,4800,10.01,20.11,4.19
cowboys,D,DAL,3600,6.8,11.56,3.211
bears,D,CHI,3800,7.1,12.07,3.176
panthers,D,CAR,3400,6.0,10.2,3.0
cardinals,D,ARI,3200,5.5,9.35,2.922
chiefs,D,KC,4300,7.3,12.41,2.886
giants,D,NYG,3000,5.1,8.67,2.89
bills,D,BUF,3900,6.4,10.88,2.79
jaguars,D,JAC,3700,6.0,10.2,2.757
chargers,D,LAC,4600,7.3,12.41,2.698
packers,D,GB,5000,8.47,17.02,3.403
rams,D,LAR,4200,6.4,10.88,2.59
raiders,D,LV,3200,4.32,6.12,1.912
buccaneers,D,TB,3500,4.68,6.63,1.894
lions,D,DET,4000,5.9,10.03,2.508
seahawks,D,SEA,4100,6.0,10.2,2.488
broncos,D,DEN,4400,6.4,10.88,2.473
steelers,D,PIT,4700,6.6,11.22,2.387
bengals,D,CIN,3000,3.78,5.36,1.785
eagles,D,PHI,4200,5.7,9.69,2.307
browns,D,CLE,4000,5.4,9.18,2.295
49ers,D,SF,4900,6.1,10.37,2.116
