Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122899-89981,WR,Tee,Tee Higgins,Higgins,11.677777608235678,9,7300,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
122899-63589,QB,Sam,Sam Darnold,Darnold,17.153333875868057,9,7200,SEA@LAR,SEA,LAR,,,,,,QB
122899-120033,WR,Rome,Rome Odunze,Odunze,12.933333502875435,9,7200,CHI@MIN,CHI,MIN,,,,,,WR/FLEX
122899-151794,TE,Brock,Brock Bowers,Bowers,13.416666666666666,6,7200,DAL@LV,LV,DAL,,,,,,TE/FLEX
122899-89493,RB,Chase,Chase Brown,Brown,11.288888719346788,9,7200,CIN@PIT,CIN,PIT,,,,,,RB/FLEX
122899-90584,QB,Mac,Mac Jones,Jones,18.18000030517578,8,7100,SF@ARI,SF,ARI,,,,,,QB
122899-85607,QB,Brock,Brock Purdy,Purdy,20.719999313354492,2,7100,SF@ARI,SF,ARI,,,,,,QB
122899-112295,WR,Zay,Zay Flowers,Flowers,10.788888719346788,9,7100,BAL@CLE,BAL,CLE,,,,,,WR/FLEX
122899-112057,RB,Jaylen,Jaylen Warren,Warren,12.662500381469727,8,7000,CIN@PIT,PIT,CIN,,,,,,RB/FLEX
122899-30231,QB,Jacoby,Jacoby Brissett,Brissett,14.819999694824219,6,7000,SF@ARI,ARI,SF,,,,,,QB
122899-29253,WR,Keenan,Keenan Allen,Allen,10.69000015258789,10,7000,LAC@JAC,LAC,JAC,,,,,,WR/FLEX
122899-129210,WR,Jordan,Jordan Addison,Addison,11.966667175292969,6,6900,CHI@MIN,MIN,CHI,,,,,,WR/FLEX
122899-91598,RB,D'Andre,D'Andre Swift,Swift,15.112500190734863,8,6900,CHI@MIN,CHI,MIN,,,,,,RB/FLEX
122899-90576,WR,DeVonta,DeVonta Smith,Smith,12.633332994249132,9,6900,DET@PHI,PHI,DET,,,,,,WR/FLEX
122899-89680,TE,Jake,Jake Ferguson,Ferguson,11.155555725097656,9,6900,DAL@LV,DAL,LV,,,,,,TE/FLEX
122899-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.67999945746528,9,6900,LAC@JAC,JAC,LAC,,,,,,QB
122899-57403,WR,Courtland,Courtland Sutton,Sutton,10.85,10,6800,KC@DEN,DEN,KC,,,,,,WR/FLEX
122899-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,13.233333163791233,9,6800,LAC@JAC,JAC,LAC,,,,,,RB/FLEX
122899-152575,QB,J.J.,J.J. McCarthy,McCarthy,16.170000076293945,4,6800,CHI@MIN,MIN,CHI,,,,,,QB
122899-111631,WR,Jameson,Jameson Williams,Williams,10.11111111111111,9,6700,DET@PHI,DET,PHI,,,,,,WR/FLEX
122899-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8.824999809265137,8,6700,LAC@JAC,JAC,LAC,Q,Ankle,,,,WR/FLEX
122899-129471,QB,C.J.,C.J. Stroud,Stroud,16.122499465942383,8,6700,HOU@TEN,HOU,TEN,O,Concussion,,,,QB
122899-89628,QB,Davis,Davis Mills,Mills,12.026667277018229,3,6700,HOU@TEN,HOU,TEN,,,,,,QB
122899-87787,RB,J.K.,J.K. Dobbins,Dobbins,11.640000152587891,10,6700,KC@DEN,DEN,KC,IR,Foot,,,,RB/FLEX
122899-22015,QB,Russell,Russell Wilson,Wilson,9.306666692097982,6,6600,GB@NYG,NYG,GB,,,,,,QB
122899-120639,WR,Quentin,Quentin Johnston,Johnston,12.925000190734863,8,6600,LAC@JAC,LAC,JAC,Q,Shin,,,,WR/FLEX
122899-39793,TE,George,George Kittle,Kittle,9.319999694824219,5,6600,SF@ARI,SF,ARI,,,,,,TE/FLEX
122899-103342,RB,Kenneth,Kenneth Walker III,Walker III,9.855555216471354,9,6600,SEA@LAR,SEA,LAR,,,,,,RB/FLEX
122899-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.61111111111111,9,6500,SF@ARI,ARI,SF,O,Appendix,,,,WR/FLEX
122899-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.797499656677246,8,6500,CAR@ATL,ATL,CAR,,,,,,QB
122899-158438,TE,Oronde,Oronde Gadsden II,Gadsden II,9.637499809265137,8,6500,LAC@JAC,LAC,JAC,,,,,,TE/FLEX
122899-119606,QB,Bryce,Bryce Young,Young,11.884444342719185,9,6500,CAR@ATL,CAR,ATL,,,,,,QB
122899-26483,QB,Geno,Geno Smith,Smith,13.284444173177084,9,6500,DAL@LV,LV,DAL,,,,,,QB
122899-92020,QB,Kenny,Kenny Pickett,Pickett,-0.8399999737739563,2,6500,DAL@LV,LV,DAL,,,,,,QB
122899-103376,RB,Zach,Zach Charbonnet,Charbonnet,9.5625,8,6500,SEA@LAR,SEA,LAR,,,,,,RB/FLEX
122899-105646,TE,Sam,Sam LaPorta,LaPorta,9.655555725097656,9,6400,DET@PHI,DET,PHI,IR,Back,,,,TE/FLEX
122899-158974,WR,Xavier,Xavier Worthy,Worthy,7.271428789411273,7,6400,KC@DEN,KC,DEN,,,,,,WR/FLEX
122899-103698,QB,Dillon,Dillon Gabriel,Gabriel,9.880000523158483,7,6400,BAL@CLE,CLE,BAL,,,,,,QB
122899-168356,QB,Cam,Cam Ward,Ward,8.777777777777779,9,6400,HOU@TEN,TEN,HOU,,,,,,QB
122899-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,9.140000152587891,5,6400,CHI@MIN,MIN,CHI,,,,,,RB/FLEX
122899-94370,WR,Romeo,Romeo Doubs,Doubs,9.788888719346788,9,6300,GB@NYG,GB,NYG,,,,,,WR/FLEX
122899-149696,QB,Trey,Trey Lance,Lance,2.859999895095825,1,6300,LAC@JAC,LAC,JAC,,,,,,QB
122899-24849,QB,Jameis,Jameis Winston,Winston,13.830909035422586,11,6300,GB@NYG,NYG,GB,,,,,,QB
122899-53729,QB,Mason,Mason Rudolph,Rudolph,0.23999999463558197,2,6300,CIN@PIT,PIT,CIN,,,,,,QB
122899-89607,QB,Tanner,Tanner McKee,McKee,-0.20000000298023224,1,6300,DET@PHI,PHI,DET,,,,,,QB
122899-138774,RB,Woody,Woody Marks,Marks,8.911110772026909,9,6300,HOU@TEN,HOU,TEN,,,,,,RB/FLEX
122899-73273,RB,David,David Montgomery,Montgomery,11.257777743869358,9,6300,DET@PHI,DET,PHI,,,,,,RB/FLEX
122899-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,6300,GB@NYG,GB,NYG,,,,,,QB
122899-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,6200,DET@PHI,PHI,DET,,,,,,QB
122899-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,5.8125,8,6200,GB@NYG,NYG,GB,,,,,,RB/FLEX
122899-61593,WR,Jauan,Jauan Jennings,Jennings,8.050000190734863,8,6200,SF@ARI,SF,ARI,,,,,,WR/FLEX
122899-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,9.980000305175782,10,6200,CAR@ATL,CAR,ATL,,,,,,WR/FLEX
122899-151903,WR,Troy,Troy Franklin,Franklin,9.84000015258789,10,6100,KC@DEN,DEN,KC,,,,,,WR/FLEX
122899-86518,WR,Khalil,Khalil Shakir,Shakir,9.633332994249132,9,6100,TB@BUF,BUF,TB,,,,,,WR/FLEX
122899-144102,RB,Kyle,Kyle Monangai,Monangai,7.422222561306423,9,6100,CHI@MIN,CHI,MIN,,,,,,RB/FLEX
122899-86081,QB,Emory,Emory Jones,Jones,,0,6000,CAR@ATL,ATL,CAR,IR,Concussion,,,,QB
122899-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,DET@PHI,PHI,DET,,,,,,QB
122899-52342,QB,Will,Will Grier,Grier,,0,6000,DAL@LV,DAL,LV,,,,,,QB
122899-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,HOU@TEN,HOU,TEN,,,,,,QB
122899-45229,RB,Kareem,Kareem Hunt,Hunt,8.466666327582466,9,6000,KC@DEN,KC,DEN,,,,,,RB/FLEX
122899-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,CIN@PIT,CIN,PIT,,,,,,QB
122899-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,DAL@LV,LV,DAL,IR,Wrist,,,,QB
122899-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,TB@BUF,BUF,TB,,,,,,QB
