name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
harold fannin,TE,CLE,CLE@NYJ,5200,1.37,2.729,7.58,14.19,7.1,7.22,3.45,11.05,8.57,6.93,0.489,23.00,27.50,0,0,5083076,Q: Hamstring
juwan johnson,TE,NO,NO@CAR,5500,1.35,2.151,7.73,11.83,7.4,8.44,3.91,10.17,7.57,7.97,0.332,15.50,22.00,0,0,3929645,: 
mark andrews,TE,BAL,BAL@MIN,6000,1.33,2.088,7.42,12.53,8,6.01,2.32,9.4,8.15,6.2,0.409,23.00,25.50,0,0,3116365,: 
theo johnson,TE,NYG,NYG@CHI,5800,1.33,2.384,7.79,13.83,7.7,6.68,3.09,10.52,8.72,7.23,0.448,21.00,24.50,0,0,4429148,: 
colston loveland,TE,CHI,NYG@CHI,5600,1.32,2.079,6.46,11.64,7.4,5.17,1.58,9.36,6.5,5.77,0.46,24.50,21.00,0,0,4723086,: 
david njoku,TE,CLE,CLE@NYJ,5000,1.26,2.724,7.04,13.62,6.3,6.88,3.13,10.53,7.74,7.26,0.515,23.00,27.50,0,0,3123076,: 
mason taylor,TE,NYJ,CLE@NYJ,5000,1.22,2.6,6.5,13,6.1,6.41,2.9,10.68,6.97,6.45,0.541,27.50,23.00,0,0,4808766,: 
luke musgrave,TE,GB,PHI@GB,5100,1.2,2.394,6.46,12.21,6.1,6.31,2.26,9.84,6.91,6.41,0.497,23.50,22.00,+1800,5.26,4428085,: 
isaiah likely,TE,BAL,BAL@MIN,4900,1.18,2.433,6.4,11.92,5.8,6.48,2.95,10.77,6.89,6.53,0.485,23.00,25.50,0,0,4361050,: 
jonnu smith,TE,PIT,PIT@LAC,5000,1.1,2.316,6.51,11.58,5.5,7.42,3.65,11.18,6.76,7.14,0.45,21.25,24.25,+1600,5.88,3054212,: 
greg dulcich,TE,MIA,BUF@MIA,4000,1.1,1.887,4.4,7.55,4.4,,,,,,0.421,27.00,25.50,0,0,4367209,: 
tj hockenson,TE,MIN,BAL@MIN,5700,1.09,2.156,6.88,12.29,6.2,6.26,2.25,9.82,8.11,6.39,0.453,25.50,23.00,0,0,4036133,: 
elijah arroyo,TE,SEA,ARI@SEA,4400,1.05,1.989,3.68,8.75,4.6,2.93,1.54,8.35,3.21,3.5,0.676,25.75,18.75,+1400,6.67,4678006,: 
