name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
rico dowdle,RB,CAR,NO@CAR,8000,2.06,2.88,15.41,23.04,16.5,14.45,8.68,17.43,15.48,14.07,0.314,22.00,15.50,0,0,4038815,: 
jahmyr gibbs,RB,DET,DET@WAS,8800,1.93,2.843,15.6,25.02,17,14.55,8.44,17.69,15.49,14.07,0.369,29.00,20.50,+500,16.67,4429795,: 
treveyon henderson,RB,NE,NE@TB,5900,1.92,2.788,11.24,16.45,11.3,10.8,6.66,14.96,11.22,11.61,0.297,25.00,23.50,0,0,4432710,: 
jaylen warren,RB,PIT,PIT@LAC,6800,1.88,2.812,12.37,19.12,12.8,10.94,6.81,15.09,12.96,11.76,0.34,21.25,24.25,+650,13.33,4569987,: 
james cook,RB,BUF,BUF@MIA,9200,1.85,2.689,17.22,24.74,17,16.99,10.78,19.98,17.86,16.61,0.283,25.50,27.00,0,0,4379399,: 
david montgomery,RB,DET,DET@WAS,6100,1.75,3.5,11.2,21.35,10.7,10.54,4.93,16.75,11.82,11.64,0.504,29.00,20.50,+750,11.76,4035538,: 
josh jacobs,RB,GB,PHI@GB,9000,1.72,2.571,15.11,23.14,15.5,14.71,8.85,17.44,15.38,14.17,0.333,23.50,22.00,+425,19.05,4047365,: 
quinshon judkins,RB,CLE,CLE@NYJ,7600,1.71,2.586,12.76,19.65,13,11.99,7.37,16.63,12.82,12.91,0.337,23.00,27.50,0,0,4685702,: 
saquon barkley,RB,PHI,PHI@GB,8300,1.7,2.472,13.72,20.52,14.1,12.88,8.2,17.57,13.67,13.88,0.314,22.00,23.50,+650,13.33,3929630,: 
derrick henry,RB,BAL,BAL@MIN,8400,1.65,2.323,13.43,19.51,13.9,12.47,7.83,17.13,13.43,13.44,0.291,23.00,25.50,0,0,3043078,: 
kyren williams,RB,LAR,LAR@SF,8200,1.62,2.466,12.56,20.22,13.3,10.75,6.62,14.9,13.23,11.55,0.371,27.50,22.00,+600,14.29,4430737,: 
rachaad white,RB,TB,NE@TB,7300,1.6,2.481,12.29,18.11,11.7,11.02,6.91,15.16,13.72,11.86,0.303,23.50,25.00,0,0,4697815,: 
travis etienne,RB,JAC,JAC@HOU,6900,1.59,2.586,10.57,17.84,11,9.99,4.7,14.73,10.75,9.94,0.408,,,0,0,4239996,: 
breece hall,RB,NYJ,CLE@NYJ,7500,1.57,2.643,11.16,19.82,11.8,9.66,4.27,14.62,12.18,9.32,0.448,27.50,23.00,0,0,4427366,: 
dandre swift,RB,CHI,NYG@CHI,7100,1.55,2.114,12.19,15.01,11,13.51,11.53,14.41,11.53,14.58,0.163,24.50,21.00,0,0,4259545,Q: Groin
kyle monangai,RB,CHI,NYG@CHI,6500,1.54,2.818,9.65,18.32,10,9.29,3.71,14.23,10.01,8.59,0.5,24.50,21.00,0,0,4608686,: 
tyrone tracy,RB,NYG,NYG@CHI,6300,1.54,2.883,9.46,18.16,9.7,8.31,1.96,15.23,10.59,7.89,0.509,21.00,24.50,0,0,4360516,: 
kimani vidal,RB,LAC,PIT@LAC,7400,1.49,2.242,9.33,16.59,11,7.33,2.85,12.4,9.87,6.93,0.449,24.25,21.25,+700,12.50,4430968,: 
zach charbonnet,RB,SEA,ARI@SEA,6400,1.44,2.636,8.33,16.87,9.2,7.81,2.83,12.75,8.36,7.05,0.551,25.75,18.75,+750,11.76,4426385,: 
alvin kamara,RB,NO,NO@CAR,6200,1.44,2.94,10.28,18.23,8.9,11.35,5.81,17.18,10.35,11.81,0.447,15.50,22.00,0,0,3054850,Q: Ankle
emari demercado,RB,ARI,ARI@SEA,4900,1.41,2.692,6.64,13.19,6.9,6.74,2.48,10.93,6.78,5.76,0.536,18.75,25.75,+1500,6.25,4362478,: 
aaron jones sr,RB,MIN,BAL@MIN,6700,1.4,2.564,9.36,17.18,9.4,9.33,3.83,14.2,9.67,8.7,0.474,25.50,23.00,0,0,3042519,Q: Shoulder - ac joint
woody marks,RB,HOU,JAC@HOU,5800,1.4,2.948,8.44,17.1,8.1,8.59,2.57,14.87,8.59,8.67,0.551,14.00,23.50,0,0,4429059,: 
kenneth walker,RB,SEA,ARI@SEA,7200,1.39,2.487,10.21,17.91,10,10.03,5.1,14.8,10.6,10.02,0.438,25.75,18.75,+850,10.53,4567048,: 
devin singletary,RB,NYG,NYG@CHI,5500,1.27,2.195,6.9,12.07,7,6.1,2.14,9.51,8.2,4.89,0.436,21.00,24.50,0,0,4040761,: 
nick chubb,RB,HOU,JAC@HOU,5600,1.21,2.361,6.87,13.22,6.8,6.82,2.43,11.1,7.52,5.77,0.511,14.00,23.50,0,0,3128720,: 
blake corum,RB,LAR,LAR@SF,5200,1.21,1.94,5.2,10.09,6.3,4.8,1.47,7.75,4.81,4.2,0.517,27.50,22.00,+2500,3.85,4429096,: 
zonovan knight,RB,ARI,ARI@SEA,5700,1.16,1.925,6.6,10.97,6.6,,,,,,0.396,18.75,25.75,+1400,6.67,,: 
jacory croskeymerritt,RB,WAS,DET@WAS,7000,1.1,2.21,7.68,15.47,7.7,7.8,2.83,12.75,7.93,7.05,0.546,20.50,29.00,+1200,7.69,4575131,: 
isaiah davis,RB,NYJ,CLE@NYJ,5000,1.1,2.972,6.34,14.86,5.5,7.05,2.67,12.07,6.8,6.39,0.665,27.50,23.00,0,0,4695404,: 
jordan mason,RB,MIN,BAL@MIN,6600,1.09,2.138,6.99,14.11,7.2,7,2.74,12.23,6.9,6.75,0.548,25.50,23.00,0,0,4360569,: 
chuba hubbard,RB,CAR,NO@CAR,5500,1.09,1.993,5.46,10.96,6,5.64,1.62,8.7,5.2,4.71,0.544,22.00,15.50,0,0,4241416,: 
kenneth gainwell,RB,PIT,PIT@LAC,5500,1.04,2.531,6.72,13.92,5.7,7.1,2.78,12.2,7.53,6.78,0.568,21.25,24.25,+2000,4.76,4371733,: 
justice hill,RB,BAL,BAL@MIN,4800,0.96,2.002,4.98,9.61,4.6,5.66,1.87,8.08,5.21,4.62,0.513,23.00,25.50,0,0,4038441,: 
ollie gordon,RB,MIA,BUF@MIA,4700,0.96,1.987,4.44,9.34,4.5,4.8,1.47,7.75,4.31,4.2,0.58,27.00,25.50,0,0,4711533,Q: Ankle
bhayshul tuten,RB,JAC,JAC@HOU,5200,0.94,1.479,4.15,7.69,4.9,4.05,1.16,6.3,3.72,3.63,0.481,,,0,0,4882093,: 
terrell jennings,RB,NE,NE@TB,5200,0.94,2.529,6.4,13.15,4.9,7.3,2.85,12.39,7.19,6.92,0.562,25.00,23.50,0,0,4427600,: 
emanuel wilson,RB,GB,PHI@GB,5400,0.91,1.867,5.13,10.08,4.9,5.54,1.56,8.32,5.48,4.5,0.527,23.50,22.00,+1700,5.56,4887558,: 
sean tucker,RB,TB,NE@TB,5300,0.91,1.74,4.68,9.22,4.8,4.87,1.5,7.87,4.66,4.27,0.529,23.50,25.00,0,0,4430871,: 
devin neal,RB,NO,NO@CAR,5000,0.84,1.206,3.33,6.03,4.2,2.97,0.61,4.86,2.91,2.78,0.463,15.50,22.00,0,0,4682652,: 
jeremy mcnichols,RB,WAS,DET@WAS,5400,0.83,1.581,4.42,8.54,4.5,4.59,1.68,7,4.38,4.2,0.514,20.50,29.00,+2200,4.35,3127586,: 
dylan sampson,RB,CLE,CLE@NYJ,5300,0.79,1.155,3.55,6.12,4.2,2.27,0.22,4.64,4.09,2.45,0.426,23.00,27.50,0,0,5081397,: 
chris rodriguez,RB,WAS,DET@WAS,5600,0.77,1.346,3.89,7.54,4.3,3.93,1,6.14,3.67,3.45,0.516,20.50,29.00,+1700,5.56,4362619,: 
keaton mitchell,RB,BAL,BAL@MIN,4000,0.75,1.073,2.06,4.29,3,1.57,-0.54,3.8,1.62,1.57,0.573,23.00,25.50,0,0,4596334,: 
jaret patterson,RB,LAC,PIT@LAC,5000,0.74,1.188,3.7,5.94,3.7,,,,,,0.37,24.25,21.25,+2500,3.85,4362452,: 
tank bigsby,RB,PHI,PHI@GB,4500,0.71,1.133,2.3,5.1,3.2,1.92,-0.02,4.66,1.58,2.33,0.621,22.00,23.50,+7000,1.41,4429013,: 
brian robinson,RB,SF,LAR@SF,5100,0.69,0.924,2.53,4.71,3.5,1.58,-0.57,3.82,2.53,1.57,0.485,22.00,27.50,+4500,2.17,4241474,: 
ty johnson,RB,BUF,BUF@MIA,4700,0.55,1.2,2.94,5.64,2.6,3.24,0.99,4.49,3.2,2.79,0.508,25.50,27.00,0,0,3915411,: 
jerome ford,RB,CLE,CLE@NYJ,4900,0.51,1.216,2.94,5.96,2.5,3.44,0.71,4.86,3.19,2.84,0.551,23.00,27.50,0,0,4372019,: 
ray davis,RB,BUF,BUF@MIA,4600,0.5,0.826,2.3,3.8,2.3,,,,,,0.391,25.50,27.00,0,0,4429501,: 
lequint allen,RB,JAC,JAC@HOU,4500,0.49,0.776,2.2,3.49,2.2,,,,,,0.36,,,0,0,4911851,: 
kyle juszczyk,RB,SF,LAR@SF,4200,0.38,0.624,1.6,2.62,1.6,,,,,,0.385,22.00,27.50,+5000,1.96,16002,: 
will shipley,RB,PHI,PHI@GB,4600,0.24,0.38,1.1,1.75,1.1,,,,,,0.363,22.00,23.50,+8000,1.23,4431545,: 
jaylen wright,RB,MIA,BUF@MIA,4200,0.21,0.355,0.9,1.49,0.9,,,,,,0.391,27.00,25.50,0,0,4682745,: 
dare ogunbowale,RB,HOU,JAC@HOU,4200,0.21,0.348,0.9,1.46,0.9,,,,,,0.379,14.00,23.50,0,0,2983509,: 
michael carter,RB,ARI,ARI@SEA,5400,0.2,0.333,1.1,1.8,1.1,,,,,,0.383,18.75,25.75,+7000,1.41,4240657,: 
chris brooks,RB,GB,PHI@GB,4900,0.2,0.324,1,1.59,1,,,,,,0.363,23.50,22.00,+8000,1.23,3149687,: 
kaleb johnson,RB,PIT,PIT@LAC,4600,0.2,0.311,0.9,1.43,0.9,,,,,,0.363,21.25,24.25,+9000,1.10,4819231,: 
alec ingold,RB,MIA,BUF@MIA,4100,0.2,0.322,0.8,1.32,0.8,,,,,,0.391,27.00,25.50,0,0,3917668,: 
dernest johnson,RB,NE,NE@TB,4200,0.19,0.302,0.8,1.27,0.8,,,,,,0.36,25.00,23.50,0,0,3139602,: 
zavier scott,RB,MIN,BAL@MIN,5100,0.18,0.28,0.9,1.43,0.9,,,,,,0.36,25.50,23.00,0,0,4257364,: 
trevor etienne,RB,CAR,NO@CAR,4400,0.18,0.302,0.8,1.33,0.8,,,,,,0.396,22.00,15.50,0,0,4685350,: 
brittain brown,RB,CHI,NYG@CHI,4500,0.18,0.296,0.8,1.33,0.8,,,,,,0.396,24.50,21.00,0,0,4036032,: 
patrick ricard,RB,BAL,BAL@MIN,4000,0.17,0.278,0.7,1.11,0.7,,,,,,0.36,23.00,25.50,0,0,2975417,: 
cj ham,RB,MIN,BAL@MIN,4000,0.15,0.237,0.6,0.95,0.6,,,,,,0.36,25.50,23.00,0,0,4012556,: 
josh williams,RB,TB,NE@TB,4000,0.15,0.237,0.6,0.95,0.6,,,,,,0.36,23.50,25.00,0,0,4568024,: 
isaac guerendo,RB,SF,LAR@SF,4100,0.15,0.239,0.6,0.98,0.6,,,,,,0.382,22.00,27.50,+10000,0.99,4372561,: 
roschon johnson,RB,CHI,NYG@CHI,4400,0.14,0.227,0.6,1,0.6,,,,,,0.396,24.50,21.00,0,0,4426386,: 
travis homer,RB,CHI,NYG@CHI,4300,0.14,0.233,0.6,1,0.6,,,,,,0.396,24.50,21.00,0,0,4037457,: 
kene nwangwu,RB,NYJ,CLE@NYJ,4000,0.13,0.215,0.5,0.86,0.5,,,,,,0.427,27.50,23.00,0,0,4035537,: 
dante miller,RB,NYG,NYG@CHI,4000,0.13,0.203,0.5,0.81,0.5,,,,,,0.379,21.00,24.50,0,0,4367510,: 
craig reynolds,RB,DET,DET@WAS,4100,0.12,0.202,0.5,0.83,0.5,,,,,,0.399,29.00,20.50,+9000,1.10,4421446,Q: Hamstring
british brooks,RB,HOU,JAC@HOU,4200,0.12,0.193,0.5,0.81,0.5,,,,,,0.379,14.00,23.50,0,0,4373273,: 
audric estime,RB,NO,NO@CAR,4200,0.12,0.193,0.5,0.81,0.5,,,,,,0.379,15.50,22.00,0,0,4569682,: 
george holani,RB,SEA,ARI@SEA,4200,0.1,0.16,0.4,0.67,0.4,,,,,,0.398,25.75,18.75,+10000,0.99,4429835,: 
reggie gilliam,RB,BUF,BUF@MIA,4000,0.1,0.165,0.4,0.66,0.4,,,,,,0.391,25.50,27.00,0,0,4039505,: 
cam akers,RB,MIN,BAL@MIN,4000,0.1,0.158,0.4,0.63,0.4,,,,,,0.36,25.50,23.00,0,0,4240021,: 
trayveon williams,RB,LAC,PIT@LAC,4000,0.07,0.12,0.3,0.48,0.3,,,,,,0.363,24.25,21.25,+8000,1.23,4035222,: 
aj dillon,RB,PHI,PHI@GB,4400,0.07,0.109,0.3,0.48,0.3,,,,,,0.363,22.00,23.50,+8000,1.23,4239934,: 
sincere mccormick,RB,SF,LAR@SF,4000,0.07,0.122,0.3,0.49,0.3,,,,,,0.379,22.00,27.50,0,0,4430104,: 
donovan edwards,RB,WAS,DET@WAS,4000,0.05,0.083,0.2,0.33,0.2,,,,,,0.379,20.50,29.00,0,0,4431536,: 
stefon diggs,WR,NE,NE@TB,6200,1.87,3.247,12.02,20.13,11.6,13.21,5.96,17.78,11.85,12.02,0.402,25.00,23.50,0,0,2976212,: 
amonra st brown,WR,DET,DET@WAS,9300,1.83,2.925,17.38,27.2,17,15.8,9.7,20.88,18.97,16.51,0.349,29.00,20.50,+500,16.67,4374302,: 
jaxon smithnjigba,WR,SEA,ARI@SEA,9500,1.82,3.231,17.37,30.69,17.3,18.48,6.46,19.1,18.7,13.76,0.444,25.75,18.75,+550,15.38,4430878,: 
puka nacua,WR,LAR,LAR@SF,9900,1.73,3.092,17.15,30.61,17.1,16.33,6.19,19.59,19.59,13.17,0.452,27.50,22.00,+500,16.67,4426515,: 
zay flowers,WR,BAL,BAL@MIN,7100,1.72,2.897,13.01,20.57,12.2,14.38,6.51,17.6,13.27,12.73,0.358,23.00,25.50,0,0,4429615,: 
emeka egbuka,WR,TB,NE@TB,7800,1.71,2.682,13.36,20.92,13.3,14.35,6.53,17.51,13.27,12.68,0.35,23.50,25.00,0,0,4567750,: 
wandale robinson,WR,NYG,NYG@CHI,6000,1.7,2.467,12.08,14.8,10.2,13.54,11.96,14.44,11.96,14.61,0.159,21.00,24.50,0,0,4569587,: 
devonta smith,WR,PHI,PHI@GB,6800,1.66,3.076,12.33,20.92,11.3,13.88,5.8,17.3,12.64,12.19,0.413,22.00,23.50,+1200,7.69,4241478,: 
romeo doubs,WR,GB,PHI@GB,6500,1.66,2.96,11.34,19.24,10.8,12.45,6.39,17.77,10.89,12.24,0.412,23.50,22.00,+1000,9.09,4361432,: 
jaylen waddle,WR,MIA,BUF@MIA,7200,1.64,3.019,12.09,21.74,11.8,13.34,5.89,18.1,11.95,11.72,0.458,27.00,25.50,0,0,4372016,: 
marvin harrison,WR,ARI,ARI@SEA,6600,1.64,3.056,11.38,20.17,10.8,12.12,6.22,17.73,11.28,12.01,0.447,18.75,25.75,+1200,7.69,4432708,: 
khalil shakir,WR,BUF,BUF@MIA,6100,1.64,3.275,11.05,19.98,10,12.56,6.15,17.86,10.76,12.2,0.462,25.50,27.00,0,0,4373678,: 
chris olave,WR,NO,NO@CAR,6900,1.58,2.796,12.03,19.29,10.9,13.77,5.94,16.81,12.37,11.89,0.368,15.50,22.00,0,0,4361370,: 
nico collins,WR,HOU,JAC@HOU,8000,1.55,2.529,12.7,20.23,12.4,12.44,6.38,17.77,13.36,12.23,0.363,14.00,23.50,0,0,4258173,: 
ladd mcconkey,WR,LAC,PIT@LAC,7600,1.55,2.738,12.8,20.81,11.8,14.32,6.67,17.66,12.96,12.96,0.379,24.25,21.25,+850,10.53,4612826,: 
jauan jennings,WR,SF,LAR@SF,6300,1.54,3.027,10.49,19.07,9.7,11.58,6.04,17.44,10.07,11.83,0.466,22.00,27.50,+1600,5.88,3886598,: 
dj moore,WR,CHI,NYG@CHI,6400,1.52,2.752,10.41,17.61,9.7,11.7,6.1,17.5,9.74,11.91,0.41,24.50,21.00,0,0,3915416,: 
tetairoa mcmillan,WR,CAR,NO@CAR,6800,1.51,2.394,10.39,16.28,10.3,10.06,5.84,16.37,10.37,10.92,0.35,22.00,15.50,0,0,4685472,Q: Hamstring
justin jefferson,WR,MIN,BAL@MIN,9000,1.49,2.806,15.51,25.25,13.4,16.88,6.8,18.39,16.98,15.39,0.38,25.50,23.00,0,0,4262921,: 
deebo samuel sr,WR,WAS,DET@WAS,7300,1.47,2.442,10.7,17.83,10.7,,,,,,0.398,20.50,29.00,0,0,,: 
keon coleman,WR,BUF,BUF@MIA,5100,1.47,3.098,8.32,15.8,7.5,9.53,5.62,15.81,7.54,10.29,0.501,25.50,27.00,0,0,4635008,: 
jameson williams,WR,DET,DET@WAS,6700,1.46,2.724,10.81,18.25,9.8,12.52,6.4,17.79,10.23,12.27,0.409,29.00,20.50,+950,9.52,4426388,: 
rome odunze,WR,CHI,NYG@CHI,7600,1.45,2.533,11.65,19.25,11,12.72,6.43,18.11,11.28,12.61,0.392,24.50,21.00,0,0,4431299,: 
garrett wilson,WR,NYJ,CLE@NYJ,7500,1.45,2.567,11.12,19.25,10.9,10.46,5.26,15.59,11.63,11.19,0.428,27.50,23.00,0,0,4569618,Q: Knee
davante adams,WR,LAR,LAR@SF,8800,1.44,2.584,13.31,22.74,12.7,14.17,5.87,17.42,13.99,12.31,0.418,27.50,22.00,+600,14.29,16800,: 
aj brown,WR,PHI,PHI@GB,8200,1.43,2.772,13.55,22.73,11.7,15.54,6.25,18.3,14.58,13.21,0.404,22.00,23.50,+1000,9.09,4047646,: 
dk metcalf,WR,PIT,PIT@LAC,7400,1.42,2.664,11.44,19.71,10.5,12.68,6.27,18.01,11.28,12.39,0.424,21.25,24.25,+950,9.52,4047650,: 
tez johnson,WR,TB,NE@TB,5800,1.41,2.628,8.95,15.24,8.2,10.19,5.87,16.4,8.07,10.97,0.415,23.50,25.00,0,0,4608810,: 
parker washington,WR,JAC,JAC@HOU,5600,1.41,2.725,8.96,15.26,7.9,10.27,5.88,16.43,8.33,11.01,0.415,,,0,0,4432620,: 
cedric tillman,WR,CLE,CLE@NYJ,4000,1.4,3.24,5.51,12.96,5.6,5.56,1.74,9.57,5.81,4.68,0.667,23.00,27.50,0,0,4369863,Q: Hamstring
quentin johnston,WR,LAC,PIT@LAC,6900,1.33,2.609,10.3,18,9.2,11.7,6.1,17.5,9.91,11.91,0.436,24.25,21.25,+1000,9.09,4429025,: 
darius slayton,WR,NYG,NYG@CHI,5800,1.33,2.847,9.17,16.51,7.7,9.94,5.81,16.33,9.4,10.86,0.459,21.00,24.50,0,0,3916945,: 
jordan addison,WR,MIN,BAL@MIN,7400,1.31,2.446,10.75,18.1,9.7,11.58,6.04,17.44,10.84,11.83,0.406,25.50,23.00,0,0,4429205,: 
rashid shaheed,WR,SEA,ARI@SEA,5900,1.31,2.703,9.25,15.95,7.7,11.12,6.08,16.54,8.79,11.38,0.425,25.75,18.75,+1100,8.33,4032473,: 
christian watson,WR,GB,PHI@GB,5800,1.31,2.569,8.48,14.9,7.6,9.33,5.54,15.78,8.08,10.2,0.44,23.50,22.00,+1600,5.88,4248528,: 
kendrick bourne,WR,SF,LAR@SF,5100,1.31,2.886,6.6,14.72,6.7,7.24,2.57,11.7,5.69,7.59,0.626,22.00,27.50,+2500,3.85,3045523,: 
calvin austin,WR,PIT,PIT@LAC,5600,1.27,2.696,8.6,15.1,7.1,10.03,5.83,16.36,8.25,10.9,0.439,21.25,24.25,+1600,5.88,4243389,: 
malik washington,WR,MIA,BUF@MIA,5600,1.25,2.891,8.54,16.19,7,10.52,5.29,15.5,7.79,11.16,0.499,27.00,25.50,0,0,4569603,: 
olamide zaccheaus,WR,CHI,NYG@CHI,5500,1.25,2.591,8.21,14.25,6.9,9.78,5.78,16.28,7.44,10.78,0.43,24.50,21.00,0,0,3917914,: 
jalen coker,WR,CAR,NO@CAR,4700,1.23,2.366,5.69,11.12,5.8,6.85,1.58,10.96,4.51,6.65,0.523,22.00,15.50,0,0,4695883,: 
dyami brown,WR,JAC,JAC@HOU,4900,1.22,2.669,6.75,13.08,6,6.8,1.53,11.04,7.52,6.67,0.516,,,0,0,4361577,: 
keenan allen,WR,LAC,PIT@LAC,6600,1.21,2.491,9.47,16.44,8,9.37,5.55,15.8,10.63,10.22,0.43,24.25,21.25,+1000,9.09,15818,: 
rashod bateman,WR,BAL,BAL@MIN,5300,1.21,2.647,8.06,14.03,6.4,9.81,5.79,16.29,7.49,10.8,0.433,23.00,25.50,0,0,4360939,: 
demario douglas,WR,NE,NE@TB,5600,1.2,2.613,8.43,14.63,6.7,10.62,5.38,15.66,7.64,11.29,0.43,25.00,23.50,0,0,4427095,: 
jerry jeudy,WR,CLE,CLE@NYJ,5500,1.18,3.147,8.4,17.31,6.5,10.21,5.87,16.41,8.11,10.98,0.564,23.00,27.50,0,0,4241463,: 
xavier legette,WR,CAR,NO@CAR,5000,1.18,2.2,6.09,11,5.9,7.66,2.97,11.74,4.62,7.83,0.461,22.00,15.50,0,0,4430034,: 
christian kirk,WR,HOU,JAC@HOU,5400,1.17,2.509,7.97,13.55,6.3,9.57,5.63,15.83,7.66,10.31,0.414,14.00,23.50,0,0,3895856,: 
mack hollins,WR,NE,NE@TB,4800,1.17,2.825,7.04,13.56,5.6,8.85,4.46,15.49,6.32,9.53,0.512,25.00,23.50,0,0,2991662,: 
jaylin lane,WR,WAS,DET@WAS,4800,1.15,3.085,7.57,14.81,5.5,9.96,5.82,16.33,6.81,10.87,0.524,20.50,29.00,+2800,3.45,4602667,: 
michael wilson,WR,ARI,ARI@SEA,5400,1.11,2.902,7.08,15.67,6,8.92,4.35,15.77,5.96,9.65,0.62,18.75,25.75,+2000,4.76,4360761,: 
chris moore,WR,WAS,DET@WAS,4700,1.06,2.998,5.88,14.09,5,7.98,3.58,14.45,4.58,8.14,0.682,20.50,29.00,+3000,3.23,2576581,: 
sterling shepard,WR,TB,NE@TB,5700,1.05,2.435,6.8,13.88,6,7.79,3.56,14.5,6.44,8.14,0.557,23.50,25.00,0,0,2976592,: 
brandin cooks,WR,NO,NO@CAR,4800,1.02,2.373,5.71,11.39,4.9,6.08,1.55,9.73,6.22,5.96,0.539,15.50,22.00,0,0,16731,: 
nick westbrookikhine,WR,MIA,BUF@MIA,4500,1.02,2.713,5.48,12.21,4.6,6.13,1.6,9.78,5.78,6.01,0.625,27.00,25.50,0,0,3929785,: 
kyle williams,WR,NE,NE@TB,4100,1.02,3.09,6.06,12.67,4.2,8.34,3.65,14.77,5.63,8.38,0.575,25.00,23.50,0,0,4613202,: 
jalen nailor,WR,MIN,BAL@MIN,4900,1,2.171,5.12,10.64,4.9,5.44,1.73,9.41,5.41,4.63,0.571,25.50,23.00,0,0,4382466,: 
xavier hutchinson,WR,HOU,JAC@HOU,5200,0.96,1.844,4.76,9.59,5,4.74,1.39,8.24,4.39,5.06,0.546,14.00,23.50,0,0,4686422,: 
deandre hopkins,WR,BAL,BAL@MIN,5000,0.88,1.986,4.01,9.93,4.4,4.44,1.55,9.86,3.45,3.95,0.707,23.00,25.50,0,0,15795,: 
cooper kupp,WR,SEA,ARI@SEA,5400,0.87,2.111,5.65,11.4,4.7,5.16,1.72,9.52,7.28,4.78,0.548,25.75,18.75,+1400,6.67,2977187,Q: Hamstring
luther burden,WR,CHI,NYG@CHI,4700,0.87,2.115,4.11,9.94,4.1,5.75,1.76,10.18,2.91,4.9,0.689,24.50,21.00,0,0,4685278,: 
devaughn vele,WR,NO,NO@CAR,4500,0.87,2.287,4.37,10.29,3.9,4.5,1.56,9.94,4.96,3.98,0.668,15.50,22.00,0,0,4569559,: 
rayray mccloud,WR,NYG,NYG@CHI,4800,0.81,2.746,5.37,13.18,3.9,7.89,3.57,14.49,4.19,8.16,0.701,21.00,24.50,0,0,3728262,: 
jordan whittington,WR,LAR,LAR@SF,5200,0.79,1.179,2.89,6.13,4.1,2.28,-0.81,5.4,2.29,2.3,0.587,27.50,22.00,+4000,2.44,4569382,Q: Back
tre harris,WR,LAC,PIT@LAC,4800,0.77,1.004,3.79,4.82,3.7,4.1,3.23,5,3.47,4.29,0.187,24.25,21.25,+3000,3.23,4686612,: 
demarcus robinson,WR,SF,LAR@SF,4600,0.74,1.639,3.2,7.54,3.4,3.07,0.05,6.11,3.08,3.16,0.669,22.00,27.50,+3500,2.78,3043116,: 
roman wilson,WR,PIT,PIT@LAC,4800,0.73,1.288,2.69,6.18,3.5,2.2,-0.77,5.73,2.2,2.51,0.649,21.25,24.25,+3500,2.78,4431492,: 
jahan dotson,WR,PHI,PHI@GB,4500,0.73,1.393,2.85,6.27,3.3,2.61,-0.43,5.67,2.62,2.66,0.615,22.00,23.50,+4000,2.44,4361409,: 
jayden higgins,WR,HOU,JAC@HOU,5200,0.71,1.304,3.31,6.78,3.7,3.75,0.8,5.89,3.18,2.35,0.559,14.00,23.50,0,0,4877706,: 
zay jones,WR,ARI,ARI@SEA,5300,0.7,1.172,3.7,6.21,3.7,,,,,,0.404,18.75,25.75,+4500,2.17,3059722,: 
jaylin noel,WR,HOU,JAC@HOU,4900,0.69,1.229,2.32,6.02,3.4,1.69,0.59,6.36,1.7,2.05,0.744,14.00,23.50,0,0,4586312,: 
treylon burks,WR,WAS,DET@WAS,4000,0.68,1.133,2.7,4.53,2.7,,,,,,0.403,20.50,29.00,+6000,1.64,4567156,: 
tyler johnson,WR,NYJ,CLE@NYJ,5100,0.67,1.143,3.4,5.83,3.4,,,,,,0.421,27.50,23.00,0,0,2310331,: 
kalif raymond,WR,DET,DET@WAS,4400,0.66,1.098,2,4.83,2.9,1.1,0.91,7.18,1.12,2.86,0.689,29.00,20.50,+3500,2.78,2973405,: 
curtis samuel,WR,BUF,BUF@MIA,4500,0.64,0.98,2.57,4.41,2.9,,,7.542,,1.9,0.421,25.50,27.00,0,0,3121427,: 
malik heath,WR,GB,PHI@GB,4400,0.64,1.018,2.8,4.48,2.8,,,,,,0.367,23.50,22.00,+3500,2.78,4689334,: 
isaac teslaa,WR,DET,DET@WAS,4200,0.64,1.188,2.01,4.99,2.7,1.52,0.59,6.39,1.53,2.06,0.71,29.00,20.50,+3000,3.23,5123663,: 
elijah moore,WR,BUF,BUF@MIA,4800,0.63,0.94,2.63,4.51,3,,,7.542,,1.9,0.421,25.50,27.00,0,0,4372414,: 
cody white,WR,SEA,ARI@SEA,4000,0.63,1,2.5,4,2.5,,,,,,0.366,25.75,18.75,+4000,2.44,4241983,: 
savion williams,WR,GB,PHI@GB,4300,0.58,1.209,1.84,5.2,2.5,1.76,0.59,6.36,1.12,2.05,0.811,23.50,22.00,+3500,2.78,4431487,Q: Foot
arian smith,WR,NYJ,CLE@NYJ,4600,0.57,0.97,2.6,4.46,2.6,,,,,,0.421,27.50,23.00,0,0,4429105,: 
jamari thrash,WR,CLE,CLE@NYJ,4600,0.57,1.646,2.58,7.57,2.6,2.56,-0.49,5.62,2.57,2.6,0.84,23.00,27.50,0,0,4428678,: 
jimmy horn,WR,CAR,NO@CAR,4400,0.57,1.709,4.03,7.52,2.5,5.9,2.34,10.4,3.25,6.76,0.487,22.00,15.50,0,0,4708486,: 
tyrell shavers,WR,BUF,BUF@MIA,4300,0.56,0.958,2.4,4.12,2.4,,,,,,0.421,25.50,27.00,0,0,4241476,: 
