name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
jackson hawes,TE,BUF,TB@BUF,4500,0.73,1.518,3.3,6.83,1.63,1.1939224684724346,0.5490332251100143,0.5681524103264057,0.5056766934100616,1.0185391151935956,FALLBACK,3.3,,,,,,26.25,20.25,+2500,3.85,4573699,: 
blake corum,RB,LAR,SEA@LAR,5400,1.06,1.509,5.15,8.15,2.06,1.6389967146756448,0.7149854570890978,0.3583593106420986,0.6660194174757282,0.5378640776699027,ESPN,5.7,4.97,1.72,7.92,5.04,4.44,25.75,22.75,+2000,4.76,4429096,: 
tanner hudson,TE,CIN,CIN@PIT,4200,0.62,1.507,2.6,6.33,1.34,0.9555114450274365,0.5189761414663487,0.6947254475972038,0.5056766934100616,1.0185391151935956,FALLBACK,2.6,,,,,,21.50,27.00,+3500,2.78,3050481,: 
brashard smith,RB,KC,KC@DEN,5000,0.9,1.498,4.26,7.49,1.7,1.449269160281279,0.7149854570890979,0.439827686623574,0.6408450704225351,0.5727699530516434,ESPN,4.5,4.28,1.53,6.7,4.16,3.98,25.00,20.50,+1900,5.00,4596602,: 
elijah moore,WR,BUF,TB@BUF,4700,0.7,1.423,2.94,6.69,1.86,1.0784095813505903,0.35840937970770426,0.6413760675194724,0.3688407230803515,1.2304197946060706,FALLBACK,3.3,,,7.542,,2.23,26.25,20.25,+3500,2.78,4372414,: 
emanuel wilson,RB,GB,GB@NYG,5600,0.88,1.405,4.88,7.87,1.96,1.5851452198650557,0.711829121838892,0.3732653151741961,0.6065573770491803,0.46721311475409844,ESPN,4.9,4.73,1.92,7.16,5.16,4.43,24.25,17.25,+1700,5.56,4887558,: 
rayray mccloud,WR,NYG,GB@NYG,4600,0.63,1.4,2.9,6.44,1.92,1.0647107369924282,0.32065638805842844,0.6228530855763103,0.3688407230803515,1.2304197946060706,FALLBACK,2.9,,,,,,17.25,24.25,0,0,3728262,: 
ty johnson,RB,BUF,TB@BUF,4500,0.84,1.398,3.37,6.29,1.38,1.2149127443642704,0.6978491603932412,0.48703815183054994,0.5994065281899109,0.6646884272997033,ESPN,3.8,3.39,1.35,5.61,3.11,2.98,26.25,20.25,+3000,3.23,3915411,: 
ryan flournoy,WR,DAL,DAL@LV,4500,0.89,1.391,3.48,6.26,1.39,1.247032293786383,0.7149854570890978,0.45865209939706664,0.7040229885057472,0.7614942528735632,ESPN,4,3.81,1.03,6.13,3.21,2.63,26.50,23.00,+3000,3.23,5083754,: 
adam trautman,TE,DEN,KC@DEN,4200,0.57,1.386,2.4,5.82,1.23,0.8754687373538999,0.5190416720225127,0.6918813410382153,0.5056766934100616,1.0185391151935956,FALLBACK,2.4,,,,,,20.50,25.00,+4000,2.44,3911853,: 
dyami brown,WR,JAC,LAC@JAC,4700,0.98,1.362,4.12,6.4,1.65,1.415853163361435,0.7149854570890979,0.3441263757449357,0.7548543689320389,0.5145631067961165,ESPN,4.6,4.27,1.01,6.24,4.31,2.6,,,+2200,4.35,4361577,: 
juju smithschuster,WR,KC,KC@DEN,4900,0.63,1.361,2.41,6.67,0.96,0.8796267475025636,0.7149854570890978,0.7947282048134416,0.6514522821576765,1.7095435684647302,ESPN,3.1,1.94,0.84,6.53,1.97,2.37,25.00,20.50,+3500,2.78,3120348,: 
johnny mundt,TE,JAC,LAC@JAC,4400,0.64,1.314,2.8,5.78,1.39,1.0296194171811581,0.5491526945631267,0.5656029374329221,0.5056766934100616,1.0185391151935956,FALLBACK,2.8,,,,,,,,+3000,3.23,3052096,: 
davis allen,TE,LAR,SEA@LAR,4400,0.64,1.314,2.8,5.78,1.39,1.0296194171811581,0.5491526945631267,0.5658196816984882,0.5056766934100616,1.0185391151935956,FALLBACK,2.8,,,,,,25.75,22.75,+3000,3.23,4426553,: 
daniel bellinger,TE,NYG,GB@NYG,4600,0.63,1.304,2.9,6,1.49,1.0647107369924282,0.5187699488559697,0.5675566955477763,0.5056766934100616,1.0185391151935956,FALLBACK,2.9,,,,,,17.25,24.25,+2500,3.85,4361516,: 
gunner olszewski,WR,NYG,GB@NYG,4300,0.56,1.265,2.4,5.44,1.59,0.8754687373538999,0.3198614117941318,0.6384447613372883,0.3688407230803515,1.2304197946060706,FALLBACK,2.4,,,,,,17.25,24.25,+3000,3.23,4424106,: 
jatavion sanders,TE,CAR,CAR@ATL,4800,0.83,1.262,4.55,6.06,3.94,1.515127232962859,0.11320617219084195,0.22379762263713637,0.18901098901098898,0.3,ESPN,4,4.53,3.69,5.44,4.98,4.79,19.00,22.50,+2500,3.85,4431588,: 
ray davis,RB,BUF,TB@BUF,4400,0.75,1.259,2.88,5.54,1.15,1.0577902941478545,0.7149854570890979,0.5102943328288123,0.7361111111111112,0.7118055555555555,ESPN,3.3,2.81,0.76,4.93,2.47,2.96,26.25,20.25,+4000,2.44,4429501,: 
isaac teslaa,WR,DET,DET@PHI,4200,0.62,1.245,2.6,5.23,1.04,0.9555114450274365,0.7149854570890979,0.5446599200308778,0.676923076923077,0.973076923076923,ESPN,2.6,2.01,0.84,5.13,3.18,2,22.00,24.50,+3500,2.78,5123663,Q: Oblique
colby parkinson,TE,LAR,SEA@LAR,4800,0.6,1.244,2.9,5.97,1.43,1.0647107369924282,0.5492394177203933,0.5633702588123232,0.5056766934100616,1.0185391151935956,FALLBACK,2.9,,,,,,25.75,22.75,+3500,2.78,4242557,: 
jordan whittington,WR,LAR,SEA@LAR,5000,0.62,1.21,2.68,6.05,1.07,0.9858167945227654,0.7149854570890979,0.635003330943186,1,1.2201492537313432,ESPN,3.1,2.34,-0.54,5.95,2.37,2.81,25.75,22.75,+4500,2.17,4569382,: 
jahan dotson,WR,PHI,DET@PHI,5000,0.6,1.206,2.65,6.03,1.06,0.9745596399981309,0.7149854570890979,0.6419233196517928,1,1.2415094339622643,ESPN,3,2.34,-0.53,5.94,2.37,2.81,24.50,22.00,+4500,2.17,4361409,: 
kalif raymond,WR,DET,DET@PHI,4500,0.78,1.167,2.29,5.25,0.92,0.8285518175661483,0.7149854570890978,0.6472958615581302,0.6331877729257642,1.240174672489083,ESPN,3.5,2.01,0.84,5.13,1.36,2,22.00,24.50,+3000,3.23,2973405,: 
