Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.56031,123.1,60000,0.67,josh allen,rico dowdle,rachaad white,javonte williams,stefon diggs,george pickens,ladd mcconkey,trey mcbride,browns
9.55707,122.9,59900,0.67,jayden daniels,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.55397,122.9,60000,0.67,jayden daniels,rico dowdle,josh jacobs,javonte williams,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,browns
9.54948,122.9,60000,0.67,jayden daniels,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,trey mcbride,browns
9.54836,123.6,60000,0.67,jayden daniels,rico dowdle,rachaad white,josh jacobs,stefon diggs,drake london,keenan allen,trey mcbride,browns
9.54762,122.5,60000,0.67,jayden daniels,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,keenan allen,trey mcbride,packers
9.54498,122.0,60000,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,george pickens,keenan allen,ladd mcconkey,trey mcbride,browns
9.53659,121.1,60000,0.67,jayden daniels,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,ladd mcconkey,zach ertz,browns
9.53518,122.2,59900,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,keenan allen,ladd mcconkey,trey mcbride,browns
9.53396,122.0,60000,0.67,jayden daniels,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,george pickens,michael mayer,browns
9.53145,121.8,59900,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,packers
9.53099,121.8,60000,0.67,jayden daniels,rico dowdle,rachaad white,jacory croskeymerritt,drake london,puka nacua,keenan allen,zach ertz,browns
9.52743,123.4,60000,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,george pickens,trey mcbride,browns
9.52725,121.4,60000,0.67,jayden daniels,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,packers
9.52416,122.2,59900,0.67,jayden daniels,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,michael mayer,browns
9.52396,122.2,60000,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,keenan allen,jake ferguson,browns
