Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.19581,119.1,60000,0.67,geno smith,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,tetairoa mcmillan,trey mcbride,browns
9.19538,118.7,60000,0.67,geno smith,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,sam laporta,browns
9.19507,118.5,60000,0.67,jared goff,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.19402,118.4,59800,0.67,geno smith,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.19384,119.2,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,keenan allen,trey mcbride,packers
9.19202,118.9,60000,0.67,geno smith,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,keenan allen,emeka egbuka,trey mcbride,browns
9.18972,120.0,60000,0.67,geno smith,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,ladd mcconkey,trey mcbride,browns
9.18832,119.1,59900,0.67,geno smith,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,george pickens,keenan allen,trey mcbride,browns
9.18828,118.5,60000,0.67,geno smith,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,keenan allen,emeka egbuka,trey mcbride,packers
9.18643,118.4,59900,0.67,geno smith,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,travis kelce,browns
9.18522,119.1,60000,0.67,geno smith,rico dowdle,josh jacobs,javonte williams,george pickens,keenan allen,ladd mcconkey,trey mcbride,browns
9.18413,118.6,59800,0.67,geno smith,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.18329,118.6,59900,0.67,jayden daniels,rico dowdle,josh jacobs,jaylen warren,puka nacua,ladd mcconkey,chris olave,michael mayer,buccaneers
9.1828,117.8,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,zach ertz,browns
9.18107,119.2,60000,0.67,caleb williams,rico dowdle,rachaad white,ashton jeanty,drake london,george pickens,ladd mcconkey,sam laporta,patriots
9.18098,117.7,59700,0.67,jordan love,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,tetairoa mcmillan,emeka egbuka,michael mayer,browns
9.18073,119.1,60000,0.67,geno smith,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,george pickens,ladd mcconkey,trey mcbride,browns
9.18039,119.3,60000,0.67,caleb williams,rachaad white,josh jacobs,devon achane,stefon diggs,drake london,jakobi meyers,travis kelce,raiders
9.18017,118.7,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,michael mayer,browns
9.17962,119.8,60000,0.67,geno smith,rico dowdle,rachaad white,josh jacobs,drake london,george pickens,keenan allen,trey mcbride,browns
9.17888,118.7,60000,0.67,geno smith,rico dowdle,jacory croskeymerritt,javonte williams,drake london,george pickens,keenan allen,trey mcbride,packers
9.17853,119.3,59800,0.67,geno smith,rico dowdle,rachaad white,jacory croskeymerritt,drake london,puka nacua,keenan allen,trey mcbride,browns
9.17728,119.1,60000,0.67,geno smith,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,colts
9.17588,119.4,60000,0.67,geno smith,rico dowdle,rachaad white,josh jacobs,stefon diggs,george pickens,keenan allen,trey mcbride,packers
9.17505,119.0,59900,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,zach ertz,browns
9.17418,118.5,60000,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,george pickens,travis kelce,browns
9.17394,118.5,59900,0.67,drake maye,rico dowdle,javonte williams,jahmyr gibbs,stefon diggs,george pickens,rome odunze,michael mayer,browns
9.17344,118.4,60000,0.67,sam darnold,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,tetairoa mcmillan,emeka egbuka,trey mcbride,packers
9.17333,119.0,60000,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,keenan allen,sam laporta,browns
9.17257,119.2,60000,0.67,michael penix,rico dowdle,josh jacobs,javonte williams,stefon diggs,keenan allen,emeka egbuka,trey mcbride,browns
9.17037,118.9,59900,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,puka nacua,michael mayer,browns
9.17034,119.7,60000,0.67,michael penix,rico dowdle,rachaad white,josh jacobs,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.1696,118.6,60000,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,packers
9.16821,117.8,60000,0.67,josh allen,rico dowdle,jacory croskeymerritt,bijan robinson,emeka egbuka,calvin ridley,khalil shakir,travis kelce,saints
9.16809,119.2,60000,0.67,michael penix,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,emeka egbuka,trey mcbride,browns
9.16651,118.9,59900,0.67,jordan love,rico dowdle,rachaad white,javonte williams,stefon diggs,george pickens,keenan allen,trey mcbride,patriots
9.16635,117.7,60000,0.67,jayden daniels,jacory croskeymerritt,javonte williams,ashton jeanty,puka nacua,tetairoa mcmillan,chris olave,michael mayer,dolphins
9.16525,119.2,59800,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,puka nacua,zach ertz,browns
9.16441,118.7,60000,0.67,justin herbert,rico dowdle,christian mccaffrey,rachaad white,george pickens,tetairoa mcmillan,jaylen waddle,michael mayer,browns
9.16438,118.7,59900,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,travis kelce,browns
9.16359,118.3,60000,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,george pickens,keenan allen,emeka egbuka,trey mcbride,browns
9.16253,118.2,60000,0.67,jared goff,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.1617,120.1,60000,0.67,michael penix,rico dowdle,christian mccaffrey,josh jacobs,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,browns
9.15989,118.5,60000,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,tetairoa mcmillan,travis kelce,browns
9.15935,119.1,60000,0.67,mac jones,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,keenan allen,emeka egbuka,trey mcbride,browns
9.15908,119.6,59800,0.67,michael penix,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.15798,118.5,60000,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,jaylen waddle,trey mcbride,browns
9.15759,118.7,59900,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,tetairoa mcmillan,trey mcbride,browns
9.15715,118.3,59900,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,sam laporta,browns
9.15611,118.4,59800,0.67,mac jones,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,george pickens,zach ertz,browns
9.1558,118.0,59700,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.15535,119.7,60000,0.67,michael penix,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,drake london,keenan allen,trey mcbride,packers
9.1552,117.4,60000,0.67,michael penix,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,emeka egbuka,zach ertz,browns
9.15518,118.1,60000,0.67,josh allen,rico dowdle,devon achane,kyren williams,stefon diggs,ladd mcconkey,michael pittman,travis kelce,cardinals
9.155,118.1,60000,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,hunter henry,browns
9.15471,119.5,59700,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,george pickens,trey mcbride,browns
9.15446,118.5,60000,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,george pickens,keenan allen,sam laporta,browns
9.15379,118.5,59900,0.67,michael penix,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,keenan allen,emeka egbuka,trey mcbride,browns
9.15158,118.9,60000,0.67,jared goff,rico dowdle,josh jacobs,javonte williams,stefon diggs,george pickens,keenan allen,sam laporta,browns
9.1514,119.1,59900,0.67,mac jones,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.15048,118.4,59800,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.14991,118.2,60000,0.67,mac jones,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,tetairoa mcmillan,sam laporta,browns
9.14933,118.4,60000,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,george pickens,emeka egbuka,trey mcbride,browns
9.1492,120.5,60000,0.67,spencer rattler,rico dowdle,christian mccaffrey,javonte williams,stefon diggs,drake london,keenan allen,trey mcbride,browns
9.14861,118.8,60000,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,dolphins
9.14741,119.1,59900,0.67,mac jones,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,george pickens,zach ertz,browns
9.14709,118.9,60000,0.67,jared goff,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,sam laporta,browns
9.147,117.3,60000,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,george pickens,keenan allen,michael mayer,browns
9.14696,120.0,60000,0.67,mac jones,rico dowdle,christian mccaffrey,rachaad white,stefon diggs,george pickens,keenan allen,trey mcbride,browns
9.14696,117.5,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,george pickens,emeka egbuka,travis kelce,browns
9.14638,118.7,59800,0.67,spencer rattler,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,zach ertz,browns
9.14631,118.6,59700,0.67,mac jones,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,zach ertz,browns
9.14624,117.9,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,travis kelce,dolphins
9.14615,119.1,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,davante adams,trey mcbride,browns
9.14611,118.0,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,keenan allen,emeka egbuka,sam laporta,browns
9.14604,119.3,59900,0.67,jared goff,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,george pickens,keenan allen,trey mcbride,browns
9.14551,118.2,59900,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,george pickens,travis kelce,browns
9.14515,119.4,60000,0.67,mac jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,george pickens,trey mcbride,raiders
9.14466,118.7,59900,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,keenan allen,sam laporta,browns
9.14465,117.7,59900,0.67,mac jones,rico dowdle,jacory croskeymerritt,javonte williams,george pickens,keenan allen,emeka egbuka,trey mcbride,browns
9.1439,118.9,59900,0.67,spencer rattler,rico dowdle,josh jacobs,javonte williams,stefon diggs,keenan allen,emeka egbuka,trey mcbride,browns
9.14381,119.1,60000,0.67,mac jones,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,ladd mcconkey,sam laporta,browns
9.14289,118.4,59900,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,ladd mcconkey,sam laporta,browns
9.14267,118.5,59900,0.67,josh allen,jacory croskeymerritt,bijan robinson,dandre swift,drake london,george pickens,calvin ridley,zach ertz,browns
9.14178,119.1,59900,0.67,jared goff,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,keenan allen,sam laporta,browns
9.14167,119.4,59900,0.67,spencer rattler,rico dowdle,rachaad white,josh jacobs,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.14093,118.3,59900,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,packers
9.14047,118.6,59900,0.67,josh allen,josh jacobs,jacory croskeymerritt,dandre swift,drake london,tetairoa mcmillan,khalil shakir,trey mcbride,cardinals
9.14022,119.6,60000,0.67,spencer rattler,rico dowdle,christian mccaffrey,jacory croskeymerritt,drake london,george pickens,keenan allen,trey mcbride,browns
9.14017,118.5,60000,0.67,spencer rattler,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,tetairoa mcmillan,sam laporta,browns
9.13953,118.6,59900,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,emeka egbuka,trey mcbride,browns
9.13942,118.9,59900,0.67,spencer rattler,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,emeka egbuka,trey mcbride,browns
9.13929,117.8,60000,0.67,caleb williams,rico dowdle,rachaad white,devon achane,emeka egbuka,jaylen waddle,michael pittman,travis kelce,colts
9.13845,119.3,60000,0.67,jared goff,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,george pickens,ladd mcconkey,trey mcbride,browns
9.13813,117.1,59900,0.67,jayden daniels,jacory croskeymerritt,javonte williams,devon achane,emeka egbuka,calvin ridley,davante adams,michael mayer,browns
9.13729,119.1,59900,0.67,jared goff,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,drake london,puka nacua,sam laporta,browns
9.13721,117.5,59900,0.67,jared goff,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,keenan allen,michael mayer,browns
9.13707,118.7,60000,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,ladd mcconkey,sam laporta,browns
9.13681,118.9,60000,0.67,spencer rattler,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,george pickens,travis kelce,browns
9.13658,118.9,59700,0.67,spencer rattler,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,puka nacua,zach ertz,browns
9.13648,119.2,60000,0.67,spencer rattler,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,george pickens,keenan allen,trey mcbride,packers
9.13631,118.9,60000,0.67,spencer rattler,rico dowdle,josh jacobs,javonte williams,stefon diggs,ladd mcconkey,emeka egbuka,trey mcbride,browns
9.13624,119.5,59800,0.67,jared goff,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,drake london,keenan allen,trey mcbride,browns
9.13571,118.4,59800,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,travis kelce,browns
9.13504,118.4,60000,0.67,jared goff,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,tetairoa mcmillan,emeka egbuka,trey mcbride,browns
9.13492,118.0,59900,0.67,spencer rattler,rico dowdle,josh jacobs,jacory croskeymerritt,george pickens,keenan allen,emeka egbuka,trey mcbride,browns
9.13451,119.8,60000,0.67,spencer rattler,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,tetairoa mcmillan,trey mcbride,browns
9.13421,118.2,59900,0.67,jared goff,rico dowdle,rachaad white,josh jacobs,stefon diggs,puka nacua,keenan allen,michael mayer,browns
9.13419,119.1,60000,0.67,jared goff,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,ladd mcconkey,sam laporta,browns
9.12757,118.0,60000,0.67,drake maye,rico dowdle,ashton jeanty,dandre swift,stefon diggs,george pickens,davante adams,zach ertz,packers
9.12637,117.9,60000,0.67,jayden daniels,rico dowdle,javonte williams,tony pollard,puka nacua,chris olave,michael pittman,travis kelce,cardinals
9.12028,117.2,59800,0.67,sam darnold,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,george pickens,keenan allen,zach ertz,colts
9.11175,118.1,59900,0.67,trevor lawrence,rico dowdle,javonte williams,jahmyr gibbs,george pickens,tetairoa mcmillan,ladd mcconkey,hunter henry,browns
9.11043,117.0,60000,0.67,justin herbert,rico dowdle,rachaad white,ashton jeanty,george pickens,keenan allen,davante adams,zach ertz,browns
9.10821,117.8,60000,0.67,jayden daniels,rico dowdle,javonte williams,kyren williams,ladd mcconkey,calvin ridley,michael pittman,jake ferguson,browns
9.09968,119.3,60000,0.67,cam ward,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,trey mcbride,browns
9.09675,118.0,59900,0.67,drake maye,javonte williams,ashton jeanty,dandre swift,stefon diggs,keenan allen,davante adams,trey mcbride,browns
9.09234,117.5,59700,0.67,daniel jones,josh jacobs,jacory croskeymerritt,javonte williams,tetairoa mcmillan,jaylen waddle,michael pittman,trey mcbride,browns
9.0914,116.3,60000,0.67,josh allen,javonte williams,jahmyr gibbs,tony pollard,tetairoa mcmillan,ladd mcconkey,jaylen waddle,zach ertz,browns
9.09109,118.6,59800,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.08977,117.2,59900,0.67,baker mayfield,josh jacobs,jacory croskeymerritt,jahmyr gibbs,stefon diggs,george pickens,jakobi meyers,zach ertz,browns
9.08379,118.2,60000,0.67,cam ward,rico dowdle,josh jacobs,javonte williams,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.0835,118.6,59900,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,trey mcbride,browns
9.07772,118.6,60000,0.67,drake maye,rico dowdle,josh jacobs,tony pollard,puka nacua,chris olave,keon coleman,trey mcbride,cardinals
9.0748,117.3,60000,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,george pickens,keenan allen,zach ertz,browns
9.07449,118.4,60000,0.67,trevor lawrence,rachaad white,josh jacobs,devon achane,keenan allen,chris olave,emeka egbuka,trey mcbride,dolphins
9.07272,116.8,60000,0.67,patrick mahomes,jaylen warren,quinshon judkins,rhamondre stevenson,stefon diggs,puka nacua,ladd mcconkey,travis kelce,packers
9.07058,117.0,60000,0.67,trevor lawrence,rachaad white,javonte williams,bijan robinson,keenan allen,emeka egbuka,calvin ridley,travis kelce,browns
9.06948,117.4,59800,0.67,sam darnold,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,jaylen waddle,trey mcbride,buccaneers
9.06691,117.8,59900,0.67,justin herbert,rico dowdle,christian mccaffrey,josh jacobs,stefon diggs,keenan allen,khalil shakir,michael mayer,patriots
9.065,117.5,59900,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,puka nacua,keenan allen,zach ertz,browns
9.06414,117.0,60000,0.67,cam ward,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,keenan allen,travis kelce,browns
9.06332,118.5,60000,0.67,tua tagovailoa,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,sam laporta,browns
9.06145,118.9,60000,0.67,dillon gabriel,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,trey mcbride,browns
9.06127,117.1,59900,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,packers
9.06115,117.7,60000,0.67,cam ward,rico dowdle,rachaad white,josh jacobs,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.06105,117.1,60000,0.67,daniel jones,rico dowdle,jacory croskeymerritt,bijan robinson,ladd mcconkey,chris olave,michael pittman,jake ferguson,packers
9.06041,116.6,60000,0.67,cam ward,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,travis kelce,packers
9.06024,117.6,60000,0.67,tua tagovailoa,rico dowdle,josh jacobs,javonte williams,stefon diggs,puka nacua,keenan allen,michael mayer,browns
9.06012,118.1,60000,0.67,aaron rodgers,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,puka nacua,zach ertz,browns
9.05925,117.5,60000,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,hunter henry,browns
9.05741,117.5,60000,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,puka nacua,ladd mcconkey,zach ertz,browns
9.05727,117.7,60000,0.67,matthew stafford,rico dowdle,christian mccaffrey,javonte williams,drake london,keenan allen,keon coleman,zach ertz,colts
9.05473,117.8,59800,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.05396,118.5,60000,0.67,aaron rodgers,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.05368,117.1,60000,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,zach ertz,packers
9.05358,117.8,60000,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,george pickens,emeka egbuka,trey mcbride,browns
9.05339,115.9,60000,0.67,drake maye,jacory croskeymerritt,javonte williams,jahmyr gibbs,puka nacua,george pickens,tez johnson,michael mayer,browns
9.05286,118.2,59800,0.67,dillon gabriel,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.05286,118.2,60000,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,trey mcbride,dolphins
9.05191,117.3,60000,0.67,geno smith,rico dowdle,josh jacobs,jacory croskeymerritt,chris olave,emeka egbuka,davante adams,trey mcbride,browns
9.05126,116.7,60000,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,george pickens,keenan allen,michael mayer,browns
9.05125,117.9,60000,0.67,cam ward,rico dowdle,rachaad white,javonte williams,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.05067,116.9,59900,0.67,aaron rodgers,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.05031,117.4,60000,0.67,caleb williams,devon achane,bijan robinson,tony pollard,drake london,george pickens,keenan allen,cade otton,browns
9.04944,116.5,59900,0.67,dak prescott,josh jacobs,javonte williams,rhamondre stevenson,stefon diggs,drake london,ladd mcconkey,zach ertz,packers
9.04941,118.2,60000,0.67,trevor lawrence,rico dowdle,javonte williams,devon achane,drake london,tetairoa mcmillan,jaxon smithnjigba,michael mayer,browns
9.04905,116.8,60000,0.67,dak prescott,rico dowdle,rachaad white,jonathan taylor,stefon diggs,davante adams,romeo doubs,zach ertz,browns
9.04821,117.7,60000,0.67,cam ward,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,emeka egbuka,sam laporta,browns
9.04797,118.0,60000,0.67,tua tagovailoa,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,jaylen waddle,trey mcbride,browns
9.04796,116.3,59900,0.67,cam ward,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,travis kelce,browns
9.04763,117.0,60000,0.67,matthew stafford,rico dowdle,christian mccaffrey,javonte williams,keenan allen,ladd mcconkey,romeo doubs,sam laporta,raiders
9.04758,118.2,59900,0.67,tua tagovailoa,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,tetairoa mcmillan,trey mcbride,browns
9.04714,117.8,59900,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,sam laporta,browns
9.04678,117.3,60000,0.67,jared goff,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,george pickens,keenan allen,sam laporta,buccaneers
9.04556,117.8,60000,0.67,dillon gabriel,rico dowdle,josh jacobs,javonte williams,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.04527,118.2,59900,0.67,dillon gabriel,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,trey mcbride,browns
9.04519,116.9,60000,0.67,tua tagovailoa,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,emeka egbuka,zach ertz,browns
9.04497,117.6,60000,0.67,aaron rodgers,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,george pickens,keenan allen,trey mcbride,browns
9.04492,118.6,59900,0.67,cam ward,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.04458,118.2,59800,0.67,tua tagovailoa,rico dowdle,josh jacobs,javonte williams,stefon diggs,george pickens,keenan allen,trey mcbride,browns
9.04378,118.0,59900,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,emeka egbuka,trey mcbride,browns
9.04348,117.7,59600,0.67,tua tagovailoa,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.04308,116.9,60000,0.67,aaron rodgers,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,travis kelce,browns
9.0419,117.8,59900,0.67,tua tagovailoa,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.04146,116.9,59900,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,puka nacua,keenan allen,michael mayer,browns
9.04077,117.1,59900,0.67,aaron rodgers,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.04061,117.3,59800,0.67,spencer rattler,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,tetairoa mcmillan,zach ertz,raiders
9.04033,117.7,59800,0.67,bryce young,rico dowdle,javonte williams,dandre swift,drake london,puka nacua,keenan allen,zach ertz,browns
9.04009,118.2,59800,0.67,tua tagovailoa,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,trey mcbride,browns
9.03954,117.4,59900,0.67,daniel jones,josh jacobs,jacory croskeymerritt,jaylen warren,stefon diggs,puka nacua,tetairoa mcmillan,hunter henry,dolphins
9.03887,118.9,60000,0.67,tua tagovailoa,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,tetairoa mcmillan,trey mcbride,browns
9.03772,116.5,59900,0.67,tua tagovailoa,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,michael mayer,packers
9.03769,116.7,60000,0.67,matthew stafford,rico dowdle,rachaad white,javonte williams,george pickens,ladd mcconkey,davante adams,jake tonges,raiders
9.03733,118.6,60000,0.67,cam ward,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,sam laporta,browns
9.03699,118.2,59900,0.67,tua tagovailoa,rico dowdle,josh jacobs,javonte williams,stefon diggs,george pickens,ladd mcconkey,trey mcbride,browns
9.03657,116.9,60000,0.67,dillon gabriel,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,george pickens,keenan allen,zach ertz,browns
