lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness
10,1,0.0,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.79999999999998,126.57503178040015,123.42884572278871,94.55595110873809,162.09364941138188,27.564158432076443,0.11414047214117824
4,1,0.0,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",60000,120.1,126.49251781428224,123.30619978119778,94.5711492052267,162.4246477173809,27.61087776567648,0.11540082354952959
11,1,0.0,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.79999999999998,126.81527699667424,123.1978295124926,95.10549872915105,162.28252139569767,27.550160924057526,0.1313040418948257
25,2,0.35,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12548",59800,119.4,126.0286434910045,122.84367393608474,94.3449738901062,160.90829922332992,27.633858704176877,0.1152560555880077
65,2,0.75,"123617-138820,123617-55050,123617-90573,123617-129471,123617-103539,123617-110484,123617-151903,123617-40845,123617-12548",59900,119.09999999999998,125.75913948477479,122.74774964956852,93.29464176441955,161.20484796338178,27.352014389049792,0.1100975523181892
14,1,0.0,"123617-138820,123617-55050,123617-89951,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.7,125.58634263189614,122.73970743073987,94.00297417979164,161.51951485266358,27.26964279150589,0.10438843012798692
35,2,0.45,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12539",59900,119.3,125.23525476494963,122.40595075099675,92.3980647317998,161.66111246125897,27.545081382238482,0.10271539861113861
47,2,0.5700000000000001,"123617-138820,123617-152647,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12548",59900,119.1,125.62678904209801,122.37149047180975,94.03570223424884,161.19441968329548,26.87621601097613,0.12112190826859001
0,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",60000,120.59999999999998,125.71157336252202,122.34839206264857,93.0635251807057,162.99211959537064,28.42460816472222,0.11831935484857414
3,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12534",59900,120.2,125.5191242071737,122.23682949820159,93.9830050797728,160.51372880268755,27.489475758392615,0.11940186629314031
48,2,0.58,"123617-138820,123617-55050,123617-89951,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12548",60000,119.1,125.40310681542968,122.21978653611187,93.66675510426387,161.13344762346586,26.96812160283659,0.11804011885584868
15,1,0.0,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",59900,119.59999999999998,125.34776096782069,122.12809964777321,93.31472394792443,161.1060544367949,27.696707778056602,0.11624707693953194
77,2,0.8700000000000001,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-151903,123617-103619,123617-86080,123617-12539",60000,119.0,125.25985020024224,122.09469317654279,93.25564633878977,160.8810342609605,27.890221888211798,0.1134862618298942
7,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12539",60000,119.9,125.06980220489991,122.08157924349823,93.43966914573224,160.04363163815697,27.318576212708646,0.1093842862869099
190,3,2.899893380848079,"123617-138820,123617-55050,123617-151966,123617-167620,123617-86518,123617-110484,123617-151903,123617-103587,123617-12548",60000,117.6,125.37787903000002,122.05351157334417,93.23484486834903,161.1635039014918,28.025057188878268,0.118621255052251
21,2,0.31,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12525",60000,119.5,125.03830235642512,121.96030443014497,93.0786364020588,160.8453087870136,27.421163105980355,0.1122489922978088
19,1,0.0,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",59900,119.5,125.0835701041002,121.94672204195089,93.07858178953937,160.4235157512063,27.20970042448035,0.11528418222962554
1,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",60000,120.5,125.59651956064175,121.88700278043342,93.65794075866802,162.48241776726908,27.77728564933294,0.1335449700535234
97,2,1.07,"123617-138820,123617-55050,123617-90573,123617-129471,123617-86518,123617-110484,123617-151903,123617-86080,123617-12550",60000,118.89999999999998,124.85880686265878,121.86722914562722,93.32550163538889,159.74576230656967,26.61954812680665,0.11238273853412846
75,2,0.8500000000000001,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-167620,123617-151903,123617-86080,123617-12534",59900,119.0,124.86154190270503,121.84541852598787,93.21652836557288,161.21736248224394,27.229333940480068,0.11076743130441717
196,3,2.625570702569203,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-103539,123617-40845,123617-86080,123617-12548",60000,117.6,125.30879558433297,121.82715256748762,92.57428125997515,160.7015670054077,28.312950471428124,0.122969982247482
70,2,0.8,"123617-138820,123617-55050,123617-152647,123617-102965,123617-167620,123617-103539,123617-151903,123617-86080,123617-12534",59900,119.0,125.25750974543551,121.81063721275972,92.47704913874482,161.35998776562144,28.102374696647594,0.12265413759097675
60,2,0.7,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",59900,119.09999999999998,125.86822401771467,121.79576531215909,93.4893435937865,162.72755873618797,28.366508992376755,0.14356573474198087
66,2,0.76,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-103619,123617-86080,123617-12550",59900,118.99999999999996,124.68321628426858,121.79159866240173,93.00482289454864,158.78440664703777,27.015705731854275,0.10703468754685702
