QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,hunter henry,treveyon henderson,chargers,mutated_492438,"drake maye,chargers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,138.0799542336244,135.1990102324836,112.90418309025428,166.13712553115892,22.541659898292362,0.12780531753826324,135.1990102324836,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,taysom hill,treveyon henderson,cardinals,mutated_150263,"drake maye,cardinals,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,136.8433220450187,135.19732111399057,111.15303497162415,164.57118261606055,21.30302175403943,0.07726607755615843,135.19732111399057,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,hunter henry,treveyon henderson,dolphins,child_981127,"drake maye,dolphins,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,137.12136303638172,135.15055350313293,112.45827280010927,163.2169187447558,21.47780211879015,0.09176029848625,135.15055350313293,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,hunter henry,treveyon henderson,chargers,child_313443,"drake maye,chargers,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,137.4546514083261,135.14536314558055,112.3334158443905,164.04338254995065,21.51112163078048,0.10735322417782112,135.14536314558055,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,hunter henry,treveyon henderson,titans,child_959583,"drake maye,titans,tetairoa mcmillan,troy franklin,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,136.74582763485262,135.13504503617492,109.59290729834181,166.06831030002937,22.611218333587367,0.07123820463424556,135.13504503617492,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,taysom hill,treveyon henderson,chargers,,"drake maye,chargers,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,136.7697909187552,135.117837402554,112.08962246314717,164.33266042732728,21.153564841608862,0.07809338655543488,135.117837402554,child_523576
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,taysom hill,treveyon henderson,panthers,child_507720,"drake maye,panthers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,137.89580262548523,134.90348784200762,112.05635375624983,165.34218498907256,22.021986368063978,0.1358785140207438,134.90348784200762,
drake maye,devon achane,christian mccaffrey,courtland sutton,wandale robinson,brian thomas,taysom hill,treveyon henderson,dolphins,,"drake maye,dolphins,courtland sutton,wandale robinson,brian thomas,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,136.86515545868835,134.86248012507542,111.86877263559741,163.55786847862618,21.47642059839952,0.09324995869014467,134.86248012507542,child_377429
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,hunter henry,treveyon henderson,titans,,"drake maye,titans,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,136.66755632665416,134.81887566889165,111.71617832337677,163.20848928210805,20.835310787363785,0.08872824968292307,134.81887566889165,child_856915
drake maye,devon achane,christian mccaffrey,stefon diggs,wandale robinson,troy franklin,hunter henry,treveyon henderson,chargers,child_362749,"drake maye,chargers,stefon diggs,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,136.68343655767072,134.7723580730808,111.4342814468774,161.46953225894262,20.88923667033683,0.09148627662894425,134.7723580730808,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,kyle pitts sr,treveyon henderson,titans,,"drake maye,titans,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,kyle pitts sr",,,,,137.09405871859204,134.51933146749087,112.47895667579965,164.52944129831428,20.89693888729538,0.12321073746674502,134.51933146749087,child_973460
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,evan engram,treveyon henderson,cardinals,child_540947,"drake maye,cardinals,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,evan engram",,,,,137.00282042116967,134.500188354837,111.88144841376769,164.80151046741113,21.726076518851396,0.11519024450462415,134.500188354837,
drake maye,devon achane,christian mccaffrey,wandale robinson,stefon diggs,michael pittman,hunter henry,treveyon henderson,titans,,"drake maye,titans,wandale robinson,stefon diggs,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,137.27410508416946,134.24011714180648,112.17943064916156,166.20631029817363,21.380476154377956,0.141904601209816,134.24011714180648,child_249488
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,evan engram,treveyon henderson,titans,child_458164,"drake maye,titans,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,evan engram",,,,,136.403784881693,134.03969842453435,111.41799495469394,164.5532784822202,21.57920708809007,0.10955390749567637,134.03969842453435,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,hunter henry,treveyon henderson,cardinals,child_929723,"drake maye,cardinals,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,136.39899917031343,133.40456603236555,112.18816185856501,164.84414514611623,20.8602478988654,0.14354734193311042,133.40456603236555,
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,treveyon henderson,titans,,"drake maye,titans,jaylen waddle,tetairoa mcmillan,troy franklin,devon achane,christian mccaffrey,treveyon henderson,kyle pitts sr",,,,,135.09833280630392,132.7371446785695,109.57622137188446,163.20281979702156,22.30496021942357,0.1058593292481303,132.7371446785695,child_125573
drake maye,devon achane,christian mccaffrey,stefon diggs,wandale robinson,troy franklin,taysom hill,travis etienne,dolphins,mutated_316778,"drake maye,dolphins,stefon diggs,wandale robinson,troy franklin,devon achane,christian mccaffrey,travis etienne,taysom hill",,,,,134.55479725060965,132.7168120075483,109.27645984042718,160.54205876760759,21.48098999805667,0.0855633396425226,132.7168120075483,
drake maye,devon achane,christian mccaffrey,courtland sutton,keenan allen,brian thomas,taysom hill,treveyon henderson,dolphins,mutated_458550,"drake maye,dolphins,courtland sutton,keenan allen,brian thomas,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,134.56636611011345,132.48167369139554,107.86200014322873,163.31219762485267,22.9068774192339,0.09100727177103074,132.48167369139554,
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,kyle pitts sr,travis etienne,chargers,mutated_483907,"drake maye,chargers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,travis etienne,kyle pitts sr",,,,,134.45186875930528,131.9017276956966,111.14461794543803,161.89180351453945,20.7451324930476,0.12292720060782117,131.9017276956966,
bo nix,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,harold fannin,treveyon henderson,dolphins,mutated_716995,"bo nix,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,harold fannin",,,,,134.73472033989677,131.90079106057905,109.73037439678224,163.6841481491074,21.34291284863168,0.13278081110186427,131.90079106057905,
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,hunter henry,treveyon henderson,chargers,child_429873,"drake maye,chargers,jaylen waddle,troy franklin,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,134.3083717452404,131.38539729191103,109.07523811133409,163.70583048833808,22.278796095286694,0.13119983866398235,131.38539729191103,
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,taysom hill,rj harvey,dolphins,child_910575,"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,rj harvey,taysom hill",,,,,134.23224990668095,131.33560367839775,109.83999220067231,161.3885005553618,21.288564367073594,0.13606583226266594,131.33560367839775,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,alec pierce,troy franklin,hunter henry,treveyon henderson,chargers,child_353963,"drake maye,chargers,tetairoa mcmillan,alec pierce,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,133.6352213824321,131.2675670558636,108.70934155412986,160.85056050032094,21.387138396201035,0.11070458715454244,131.2675670558636,
