player_ids,lineup_id,mean,median,p10,p90,std,skewness,fitness,lineupid,tier,temperature,total_salary,milp_projection
"drake maye,panthers,tetairoa mcmillan,marvin harrison,troy franklin,devon achane,christian mccaffrey,treveyon henderson,taysom hill",child_136321,139.0780698884142,136.62185664779847,111.08597394258472,169.27681762209403,24.16238438152989,0.1016544229175208,136.62185664779847,,,,,
"drake maye,cardinals,tetairoa mcmillan,marvin harrison,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",mutated_392336,139.03597656057315,136.17525407243173,114.36728825507852,168.36318942306212,22.403878377962958,0.1276887170997724,136.17525407243173,,,,,
"drake maye,panthers,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",mutated_291558,138.7896992150555,136.15149002701764,112.10677993736935,168.2215737367232,22.880267516497852,0.11530499746716524,136.15149002701764,,,,,
"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,138.54587602373462,135.87818655542918,113.00226123053206,165.98084276824832,21.598843197474995,0.12351075675281097,135.87818655542918,child_890270,,,,
"drake maye,cardinals,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,137.6483200019853,135.6776241627621,112.45430590019592,166.3954456370999,21.192492242964004,0.09299028243728512,135.6776241627621,child_983305,,,,
"drake maye,dolphins,tetairoa mcmillan,michael pittman,troy franklin,devon achane,christian mccaffrey,treveyon henderson,taysom hill",child_449828,136.8594492196901,135.64530268860463,109.24230335824645,165.6133391943881,22.878489957288853,0.053069347380536404,135.64530268860463,,,,,
"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,137.16883656541665,135.62318682972364,110.34741378603215,164.10217071058605,21.800875483051357,0.07089851675427679,135.62318682972364,child_792910,,,,
"drake maye,titans,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,137.58889140772976,135.6114009072291,112.7106437457234,165.19057016287525,21.052537263314296,0.09393121958494748,135.6114009072291,child_612326,,,,
"drake maye,chargers,courtland sutton,wandale robinson,brian thomas,devon achane,christian mccaffrey,treveyon henderson,hunter henry",mutated_315611,137.1124996692244,135.46328881344638,112.539980743509,164.38652010225556,20.495418393831773,0.08046729391356866,135.46328881344638,,,,,
"drake maye,dolphins,stefon diggs,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",child_558491,136.62556456168554,135.4550715434787,112.39733662613008,161.349338157277,20.138648118794983,0.058121727501382274,135.4550715434787,,,,,
"drake maye,panthers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,138.41541110610973,135.4314319943672,114.17494075871232,164.67411640994408,21.866028593033032,0.13646644149607026,135.4314319943672,child_981134,,,,
"drake maye,dolphins,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,137.58682766010836,135.33438669997435,112.02475823578904,166.63530651066037,21.058436126803212,0.10696145461946717,135.33438669997435,child_414168,,,,
"drake maye,panthers,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",child_197305,137.0406667019183,135.3090476354332,111.26646869893692,164.29500936798766,20.974872863065045,0.08255683253910645,135.3090476354332,,,,,
"drake maye,titans,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,137.12353080287465,135.302430238971,111.84366506477346,163.4531399712574,21.468711368753066,0.08482579753502122,135.302430238971,child_143497,,,,
"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,harold fannin",mutated_321003,138.2599977882095,135.2648072642079,111.67010397052985,166.5656114598837,22.41426146176104,0.13362878491943292,135.2648072642079,,,,,
"drake maye,cardinals,tetairoa mcmillan,troy franklin,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",child_626050,137.6103858963414,135.23985539734696,110.44808253309195,168.1387658421507,23.462757802186978,0.1010337539593697,135.23985539734696,,,,,
"drake maye,chargers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",mutated_492438,138.0799542336244,135.1990102324836,112.90418309025428,166.13712553115892,22.541659898292362,0.12780531753826324,135.1990102324836,,,,,
"drake maye,cardinals,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",mutated_150263,136.8433220450187,135.19732111399057,111.15303497162415,164.57118261606055,21.30302175403943,0.07726607755615843,135.19732111399057,,,,,
"drake maye,dolphins,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",child_981127,137.12136303638172,135.15055350313293,112.45827280010927,163.2169187447558,21.47780211879015,0.09176029848625,135.15055350313293,,,,,
"drake maye,chargers,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",child_313443,137.4546514083261,135.14536314558055,112.3334158443905,164.04338254995065,21.51112163078048,0.10735322417782112,135.14536314558055,,,,,
"drake maye,titans,tetairoa mcmillan,troy franklin,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",child_959583,136.74582763485262,135.13504503617492,109.59290729834181,166.06831030002937,22.611218333587367,0.07123820463424556,135.13504503617492,,,,,
"drake maye,chargers,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,136.7697909187552,135.117837402554,112.08962246314717,164.33266042732728,21.153564841608862,0.07809338655543488,135.117837402554,child_523576,,,,
"drake maye,panthers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,taysom hill",child_507720,137.89580262548523,134.90348784200762,112.05635375624983,165.34218498907256,22.021986368063978,0.1358785140207438,134.90348784200762,,,,,
