QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,total_salary,strategy,anchor_player,mean,median,std,p10,p80,p90,cvar_score
Sam Darnold,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Los Angeles Chargers,6,"123617-138820,123617-152647,123617-63589,123617-90573,123617-128633,123617-151903,123617-69213,123617-40845,123617-12548",59800,qb_anchor,Sam Darnold,116.52,115.61,21.81,92.14,133.18,144.77,149.0
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Alec Pierce,Gunnar Helm,Kenneth Walker III,Los Angeles Chargers,49,"123617-138820,123617-152316,123617-152647,123617-90573,123617-103342,123617-69213,123617-86312,123617-152148,123617-12548",59900,qb_anchor,Drake Maye,118.07,116.89,21.34,93.9,132.97,145.2,148.98
Drake Maye,De'Von Achane,TreVeyon Henderson,Tetairoa McMillan,Chimere Dike,Adonai Mitchell,Trey McBride,Tyjae Spears,Los Angeles Chargers,45,"123617-138820,123617-91750,123617-152316,123617-152647,123617-167620,123617-129112,123617-151789,123617-107293,123617-12548",59900,qb_anchor,Drake Maye,116.13,114.29,21.56,92.19,132.39,142.67,148.95
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Hunter Henry,Breece Hall,Tennessee Titans,26,"123617-138820,123617-152647,123617-30231,123617-103064,123617-90573,123617-167620,123617-103539,123617-40845,123617-12534",60000,qb_anchor,Jacoby Brissett,113.77,111.44,22.95,87.0,131.45,145.86,148.34
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Harold Fannin Jr.,Kenneth Walker III,Los Angeles Chargers,21,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-69213,123617-129112,123617-172699,123617-12548",60000,qb_anchor,Justin Herbert,116.11,115.89,21.19,88.77,131.6,145.43,147.27
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,48,"123617-138820,123617-152316,123617-152647,123617-90573,123617-110484,123617-69213,123617-129112,123617-172699,123617-12548",59400,qb_anchor,Drake Maye,116.69,115.2,20.7,92.15,134.49,145.35,147.26
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Harold Fannin Jr.,Kimani Vidal,Los Angeles Chargers,46,"123617-138820,123617-152316,123617-152647,123617-90573,123617-128633,123617-69213,123617-129112,123617-172699,123617-12548",59800,qb_anchor,Drake Maye,117.85,115.13,20.25,94.71,135.01,143.98,147.25
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Hunter Henry,Kenneth Walker III,Tennessee Titans,28,"123617-138820,123617-152647,123617-30231,123617-90573,123617-103342,123617-167620,123617-57403,123617-40845,123617-12534",59700,qb_anchor,Jacoby Brissett,113.61,113.07,21.9,86.42,131.32,143.91,146.74
C.J. Stroud,De'Von Achane,Breece Hall,Emeka Egbuka,Jaylen Waddle,Tetairoa McMillan,Hunter Henry,Kenneth Walker III,Tennessee Titans,59,"123617-138820,123617-152655,123617-103064,123617-90573,123617-103342,123617-129471,123617-167620,123617-40845,123617-12534",60000,qb_anchor,C.J. Stroud,114.0,111.75,22.31,88.74,134.22,146.4,146.57
Jaxson Dart,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Los Angeles Chargers,19,"123617-138820,123617-152647,123617-151966,123617-90573,123617-128633,123617-151903,123617-69213,123617-40845,123617-12548",59900,qb_anchor,Jaxson Dart,113.52,111.67,21.53,90.6,128.02,142.93,146.3
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Chimere Dike,Hunter Henry,RJ Harvey,Los Angeles Chargers,8,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-110484,123617-129112,123617-40845,123617-12548",59900,qb_anchor,Sam Darnold,115.35,112.47,20.47,90.84,132.01,142.81,145.75
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Tetairoa McMillan,Hunter Henry,RJ Harvey,Tennessee Titans,27,"123617-138820,123617-152647,123617-30231,123617-73048,123617-90573,123617-167620,123617-110484,123617-40845,123617-12534",59800,qb_anchor,Jacoby Brissett,112.88,111.58,22.03,87.27,129.65,142.04,145.69
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Chimere Dike,Gunnar Helm,RJ Harvey,Los Angeles Chargers,13,"123617-138820,123617-41535,123617-152647,123617-90573,123617-167620,123617-110484,123617-129112,123617-152148,123617-12548",59600,qb_anchor,Baker Mayfield,113.38,110.64,21.15,88.15,129.27,140.92,145.57
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Arizona Cardinals,5,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-128633,123617-69213,123617-40845,123617-12546",59900,qb_anchor,Sam Darnold,115.49,114.17,20.18,92.22,130.99,142.28,145.52
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Hunter Henry,Kimani Vidal,Los Angeles Chargers,11,"123617-138820,123617-41535,123617-152647,123617-90573,123617-128633,123617-69213,123617-129112,123617-40845,123617-12548",60000,qb_anchor,Baker Mayfield,114.9,113.35,20.86,89.72,130.75,141.23,145.43
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Michael Pittman Jr.,Hunter Henry,RJ Harvey,Tennessee Titans,37,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-69213,123617-40845,123617-12534",60000,qb_anchor,Matthew Stafford,113.16,111.43,21.34,87.68,131.84,142.75,145.41
Daniel Jones,De'Von Achane,TreVeyon Henderson,Emeka Egbuka,Jaylen Waddle,Alec Pierce,Hunter Henry,Kenneth Walker III,Tennessee Titans,0,"123617-138820,123617-152655,123617-152647,123617-63519,123617-90573,123617-103342,123617-86312,123617-40845,123617-12534",60000,qb_anchor,Daniel Jones,114.23,111.73,20.53,89.81,130.49,144.59,145.2
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Van Jefferson,Hunter Henry,TreVeyon Henderson,Tennessee Titans,36,"123617-138820,123617-55050,123617-6654,123617-152647,123617-90573,123617-167620,123617-40845,123617-64581,123617-12534",60000,qb_anchor,Matthew Stafford,112.87,110.82,21.9,87.52,131.16,141.65,144.96
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Mack Hollins,Chimere Dike,Harold Fannin Jr.,Kenneth Walker III,Los Angeles Chargers,22,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-25267,123617-129112,123617-172699,123617-12548",59700,qb_anchor,Justin Herbert,114.31,112.43,20.35,88.93,132.39,142.71,144.93
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Chimere Dike,Hunter Henry,Kimani Vidal,Los Angeles Chargers,10,"123617-138820,123617-41535,123617-152647,123617-90573,123617-128633,123617-151903,123617-129112,123617-40845,123617-12548",60000,qb_anchor,Baker Mayfield,113.4,110.82,20.51,90.91,129.92,142.6,144.68
Drake Maye,De'Von Achane,Kimani Vidal,Tetairoa McMillan,Michael Pittman Jr.,Adonai Mitchell,Trey McBride,Tyjae Spears,Los Angeles Chargers,47,"123617-138820,123617-91750,123617-152316,123617-167620,123617-128633,123617-69213,123617-151789,123617-107293,123617-12548",59500,qb_anchor,Drake Maye,114.29,111.75,19.66,89.72,129.28,142.34,144.42
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Chimere Dike,Harold Fannin Jr.,Kenneth Walker III,Los Angeles Chargers,20,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-151903,123617-129112,123617-172699,123617-12548",60000,qb_anchor,Justin Herbert,114.61,113.53,20.28,90.45,132.83,141.26,144.4
C.J. Stroud,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Tetairoa McMillan,Chimere Dike,Kyle Pitts Sr.,Kimani Vidal,New Orleans Saints,58,"123617-89675,123617-138820,123617-90573,123617-129471,123617-167620,123617-128633,123617-129112,123617-86080,123617-12542",60000,qb_anchor,C.J. Stroud,112.57,109.93,21.25,85.77,131.38,139.6,144.19
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Mack Hollins,Chimere Dike,Zach Ertz,Kenneth Walker III,Los Angeles Chargers,23,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-25267,123617-129112,123617-29780,123617-12548",59800,qb_anchor,Justin Herbert,114.51,114.58,20.31,89.03,131.7,139.06,144.19
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,RJ Harvey,Arizona Cardinals,7,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-110484,123617-69213,123617-40845,123617-12546",59500,qb_anchor,Sam Darnold,114.32,111.77,19.93,91.16,129.63,142.92,144.13
Daniel Jones,De'Von Achane,TreVeyon Henderson,Emeka Egbuka,Jaylen Waddle,Chimere Dike,John Bates,Kenneth Walker III,Los Angeles Chargers,1,"123617-138820,123617-152655,123617-152647,123617-63519,123617-90573,123617-103342,123617-129112,123617-12548,123617-72705",59900,qb_anchor,Daniel Jones,112.51,107.65,20.24,89.72,129.78,141.02,143.88
C.J. Stroud,De'Von Achane,Kenneth Walker III,DK Metcalf,Jaylen Waddle,Tetairoa McMillan,Kyle Pitts Sr.,Kimani Vidal,Los Angeles Chargers,56,"123617-138820,123617-73048,123617-90573,123617-103342,123617-129471,123617-167620,123617-128633,123617-86080,123617-12548",59800,qb_anchor,C.J. Stroud,112.12,109.46,21.0,87.52,130.53,143.52,143.86
Daniel Jones,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Tetairoa McMillan,Hunter Henry,Kimani Vidal,Tennessee Titans,2,"123617-138820,123617-152655,123617-63519,123617-90573,123617-103342,123617-167620,123617-128633,123617-40845,123617-12534",60000,qb_anchor,Daniel Jones,114.32,113.48,20.2,89.02,133.23,141.69,143.68
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Van Jefferson,Hunter Henry,Kimani Vidal,Los Angeles Chargers,14,"123617-138820,123617-41535,123617-152647,123617-90573,123617-167620,123617-128633,123617-40845,123617-64581,123617-12548",59800,qb_anchor,Baker Mayfield,113.31,111.17,20.57,91.43,129.31,138.95,143.56
Jacoby Brissett,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Tetairoa McMillan,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Arizona Cardinals,29,"123617-138820,123617-152655,123617-30231,123617-103342,123617-167620,123617-128633,123617-69213,123617-40845,123617-12546",59800,qb_anchor,Jacoby Brissett,112.27,108.91,21.37,90.48,131.49,139.29,143.35
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Chimere Dike,Hunter Henry,RJ Harvey,Los Angeles Chargers,12,"123617-138820,123617-41535,123617-152647,123617-90573,123617-86518,123617-110484,123617-129112,123617-40845,123617-12548",59700,qb_anchor,Baker Mayfield,112.46,109.77,20.3,89.37,129.32,137.73,143.28
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Tetairoa McMillan,Dawson Knox,Kenneth Walker III,Tennessee Titans,25,"123617-138820,123617-152647,123617-30231,123617-73048,123617-90573,123617-103342,123617-167620,123617-64585,123617-12534",59800,qb_anchor,Jacoby Brissett,111.97,109.57,21.08,88.03,131.35,138.25,143.16
Daniel Jones,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Arizona Cardinals,4,"123617-138820,123617-152655,123617-63519,123617-90573,123617-103342,123617-128633,123617-69213,123617-40845,123617-12546",59900,qb_anchor,Daniel Jones,112.88,109.17,19.97,88.25,129.8,138.91,142.93
Daniel Jones,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Mack Hollins,Alec Pierce,Hunter Henry,Kenneth Walker III,Los Angeles Chargers,3,"123617-138820,123617-152647,123617-63519,123617-90573,123617-103342,123617-25267,123617-86312,123617-40845,123617-12548",59400,qb_anchor,Daniel Jones,112.85,110.41,20.09,90.26,128.5,141.74,142.87
