QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,cvar_score,actual_only,actual_with_consensus,mean,median,std,p10,p80,p90,lineup_id,player_ids,total_salary,strategy,anchor_player,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Sam Darnold,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Los Angeles Chargers,149.0,84.72,95.12,116.52,115.61,21.81,92.14,133.18,144.77,6,"123617-138820,123617-152647,123617-63589,123617-90573,123617-128633,123617-151903,123617-69213,123617-40845,123617-12548",59800,qb_anchor,Sam Darnold,8,1,0,-21.4,-20.49,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Alec Pierce,Gunnar Helm,Kenneth Walker III,Los Angeles Chargers,148.98,96.48,106.88,118.07,116.89,21.34,93.9,132.97,145.2,49,"123617-138820,123617-152316,123617-152647,123617-90573,123617-103342,123617-69213,123617-86312,123617-152148,123617-12548",59900,qb_anchor,Drake Maye,8,1,0,-11.19,-10.01,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Tetairoa McMillan,Chimere Dike,Adonai Mitchell,Trey McBride,Tyjae Spears,Los Angeles Chargers,148.95,117.98,117.98,116.13,114.29,21.56,92.19,132.39,142.67,45,"123617-138820,123617-91750,123617-152316,123617-152647,123617-167620,123617-129112,123617-151789,123617-107293,123617-12548",59900,qb_anchor,Drake Maye,9,0,0,1.85,3.69,True,False,False
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Hunter Henry,Breece Hall,Tennessee Titans,148.34,106.24,106.24,113.77,111.44,22.95,87.0,131.45,145.86,26,"123617-138820,123617-152647,123617-30231,123617-103064,123617-90573,123617-167620,123617-103539,123617-40845,123617-12534",60000,qb_anchor,Jacoby Brissett,9,0,0,-7.53,-5.2,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Harold Fannin Jr.,Kenneth Walker III,Los Angeles Chargers,147.27,77.94,88.34,116.11,115.89,21.19,88.77,131.6,145.43,21,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-69213,123617-129112,123617-172699,123617-12548",60000,qb_anchor,Justin Herbert,8,1,0,-27.77,-27.55,False,False,True
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,147.26,95.38,105.78,116.69,115.2,20.7,92.15,134.49,145.35,48,"123617-138820,123617-152316,123617-152647,123617-90573,123617-110484,123617-69213,123617-129112,123617-172699,123617-12548",59400,qb_anchor,Drake Maye,8,1,0,-10.91,-9.42,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Harold Fannin Jr.,Kimani Vidal,Los Angeles Chargers,147.25,98.88,109.28,117.85,115.13,20.25,94.71,135.01,143.98,46,"123617-138820,123617-152316,123617-152647,123617-90573,123617-128633,123617-69213,123617-129112,123617-172699,123617-12548",59800,qb_anchor,Drake Maye,8,1,0,-8.57,-5.85,True,False,False
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Hunter Henry,Kenneth Walker III,Tennessee Titans,146.74,108.34,108.34,113.61,113.07,21.9,86.42,131.32,143.91,28,"123617-138820,123617-152647,123617-30231,123617-90573,123617-103342,123617-167620,123617-57403,123617-40845,123617-12534",59700,qb_anchor,Jacoby Brissett,9,0,0,-5.27,-4.73,True,False,False
C.J. Stroud,De'Von Achane,Breece Hall,Emeka Egbuka,Jaylen Waddle,Tetairoa McMillan,Hunter Henry,Kenneth Walker III,Tennessee Titans,146.57,90.74,90.74,114.0,111.75,22.31,88.74,134.22,146.4,59,"123617-138820,123617-152655,123617-103064,123617-90573,123617-103342,123617-129471,123617-167620,123617-40845,123617-12534",60000,qb_anchor,C.J. Stroud,9,0,0,-23.26,-21.01,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Los Angeles Chargers,146.3,95.16,105.56,113.52,111.67,21.53,90.6,128.02,142.93,19,"123617-138820,123617-152647,123617-151966,123617-90573,123617-128633,123617-151903,123617-69213,123617-40845,123617-12548",59900,qb_anchor,Jaxson Dart,8,1,0,-7.96,-6.11,True,False,False
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Chimere Dike,Hunter Henry,RJ Harvey,Los Angeles Chargers,145.75,82.22,82.22,115.35,112.47,20.47,90.84,132.01,142.81,8,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-110484,123617-129112,123617-40845,123617-12548",59900,qb_anchor,Sam Darnold,9,0,0,-33.13,-30.25,False,False,True
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Tetairoa McMillan,Hunter Henry,RJ Harvey,Tennessee Titans,145.69,109.14,109.14,112.88,111.58,22.03,87.27,129.65,142.04,27,"123617-138820,123617-152647,123617-30231,123617-73048,123617-90573,123617-167620,123617-110484,123617-40845,123617-12534",59800,qb_anchor,Jacoby Brissett,9,0,0,-3.74,-2.44,True,False,False
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Chimere Dike,Gunnar Helm,RJ Harvey,Los Angeles Chargers,145.57,95.66,95.66,113.38,110.64,21.15,88.15,129.27,140.92,13,"123617-138820,123617-41535,123617-152647,123617-90573,123617-167620,123617-110484,123617-129112,123617-152148,123617-12548",59600,qb_anchor,Baker Mayfield,9,0,0,-17.72,-14.98,True,False,False
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Arizona Cardinals,145.52,80.32,90.72,115.49,114.17,20.18,92.22,130.99,142.28,5,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-128633,123617-69213,123617-40845,123617-12546",59900,qb_anchor,Sam Darnold,8,1,0,-24.77,-23.45,False,False,True
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Chimere Dike,Hunter Henry,Kimani Vidal,Los Angeles Chargers,145.43,92.36,102.76,114.9,113.35,20.86,89.72,130.75,141.23,11,"123617-138820,123617-41535,123617-152647,123617-90573,123617-128633,123617-69213,123617-129112,123617-40845,123617-12548",60000,qb_anchor,Baker Mayfield,8,1,0,-12.14,-10.59,True,False,False
