QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,total_salary,strategy,anchor_player,mean,median,std,p10,p80,p90,cvar_score
Matthew Stafford,De'Von Achane,Josh Jacobs,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,5,"123865-138820,123865-72731,123865-6654,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",60000,qb_anchor,Matthew Stafford,124.75,122.76,22.56,99.39,141.34,156.36,159.17
Matthew Stafford,De'Von Achane,Josh Jacobs,Christian Watson,Khalil Shakir,Michael Pittman Jr.,Kyle Pitts Sr.,Michael Wilson,Denver Broncos,6,"123865-138820,123865-72731,123865-6654,123865-169776,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59700,qb_anchor,Matthew Stafford,123.39,120.51,22.28,99.74,142.8,154.69,157.66
Jordan Love,De'Von Achane,Josh Jacobs,Christian Watson,Khalil Shakir,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,14,"123865-138820,123865-72731,123865-69017,123865-110484,123865-169776,123865-86518,123865-89612,123865-86080,123865-12531",59800,qb_anchor,Jordan Love,121.68,118.44,22.97,95.03,137.72,153.4,156.73
Jordan Love,De'Von Achane,Josh Jacobs,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,13,"123865-138820,123865-72731,123865-69017,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59400,qb_anchor,Jordan Love,120.63,117.31,22.96,95.19,138.32,152.03,155.89
Josh Allen,De'Von Achane,RJ Harvey,Davante Adams,Khalil Shakir,Michael Wilson,Kyle Pitts Sr.,Keaton Mitchell,Denver Broncos,34,"123865-138820,123865-62239,123865-45889,123865-110484,123865-86518,123865-89612,123865-86080,123865-12531,123865-134023",59800,qb_anchor,Josh Allen,123.78,121.19,20.75,100.82,141.54,152.83,155.73
Bo Nix,James Cook III,Josh Jacobs,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,42,"123865-91626,123865-72731,123865-102965,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59800,qb_anchor,Bo Nix,119.45,117.16,23.87,91.83,140.53,149.0,155.43
Matthew Stafford,De'Von Achane,Josh Jacobs,Christian Watson,Khalil Shakir,Michael Pittman Jr.,Brenton Strange,Michael Wilson,Denver Broncos,9,"123865-138820,123865-72731,123865-6654,123865-169776,123865-86518,123865-69213,123865-89612,123865-103587,123865-12531",59800,qb_anchor,Matthew Stafford,121.88,118.76,21.73,97.03,139.63,155.47,155.3
Josh Allen,De'Von Achane,Josh Jacobs,Christian Watson,Khalil Shakir,Michael Wilson,Kyle Pitts Sr.,Keaton Mitchell,Denver Broncos,32,"123865-138820,123865-62239,123865-72731,123865-169776,123865-86518,123865-89612,123865-86080,123865-12531,123865-134023",59500,qb_anchor,Josh Allen,125.24,123.97,20.59,100.33,141.43,153.32,155.29
Matthew Stafford,De'Von Achane,Josh Jacobs,Khalil Shakir,Romeo Doubs,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,7,"123865-138820,123865-72731,123865-6654,123865-110484,123865-86518,123865-94370,123865-89612,123865-86080,123865-12531",60000,qb_anchor,Matthew Stafford,123.46,120.96,21.72,95.7,139.24,149.92,154.81
Bo Nix,De'Von Achane,Josh Jacobs,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,40,"123865-138820,123865-72731,123865-102965,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59700,qb_anchor,Bo Nix,120.03,117.98,23.3,95.44,138.2,151.33,154.73
Jacoby Brissett,James Cook III,De'Von Achane,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,35,"123865-91626,123865-138820,123865-30231,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59900,qb_anchor,Jacoby Brissett,117.42,113.62,24.12,90.79,137.04,146.39,154.14
Matthew Stafford,Josh Jacobs,RJ Harvey,Rashee Rice,Khalil Shakir,Michael Pittman Jr.,Kyle Pitts Sr.,Michael Wilson,Denver Broncos,8,"123865-111311,123865-72731,123865-6654,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59700,qb_anchor,Matthew Stafford,121.42,119.15,21.51,98.31,136.79,150.73,154.09
Baker Mayfield,James Cook III,Josh Jacobs,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,0,"123865-91626,123865-72731,123865-41535,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",60000,qb_anchor,Baker Mayfield,119.85,116.95,22.55,95.33,136.02,149.72,153.94
Trevor Lawrence,James Cook III,De'Von Achane,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,17,"123865-91626,123865-138820,123865-89951,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59800,qb_anchor,Trevor Lawrence,118.22,116.13,22.93,90.52,134.97,152.4,153.54
Josh Allen,Josh Jacobs,Kyren Williams,Khalil Shakir,Michael Wilson,Cooper Kupp,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,31,"123865-62239,123865-72731,123865-104433,123865-110484,123865-86518,123865-89612,123865-79970,123865-86080,123865-12531",59800,qb_anchor,Josh Allen,123.69,121.38,19.86,100.77,139.14,151.59,153.34
Baker Mayfield,De'Von Achane,Josh Jacobs,Khalil Shakir,Michael Pittman Jr.,Michael Wilson,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,1,"123865-138820,123865-72731,123865-41535,123865-110484,123865-86518,123865-69213,123865-89612,123865-86080,123865-12531",59900,qb_anchor,Baker Mayfield,120.42,120.54,22.35,94.62,135.71,150.13,153.28
