QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,giants,39,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,giants",2,0.49,119.4,60000,132.6215273655984,131.16769762401103,107.78854820668633,159.41941573326295,20.914119672214753,0.06951426903800571
drake maye,devon achane,christian mccaffrey,jaylen waddle,michael pittman,khalil shakir,hunter henry,rj harvey,titans,58,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,michael pittman,khalil shakir,hunter henry,titans",2,0.6799999999999999,119.2,59800,133.55476564422517,131.1329999720828,107.23318951128485,162.37274007325286,22.451363042980667,0.10786720020099236
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,dolphins,33,"drake maye,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,dolphins",2,0.43,119.5,59900,133.39738269265644,131.0775468298737,107.45424563541474,161.3344132634341,22.724923855814836,0.10208332830955237
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,84,"bo nix,devon achane,christian mccaffrey,treveyon henderson,wandale robinson,troy franklin,michael pittman,kyle pitts sr,dolphins",2,0.9400000000000002,119.1,60000,133.29541269641336,130.9751136600579,109.0043329350107,160.56704707699703,21.133279571063483,0.1097936091061091
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,rj harvey,titans,27,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,titans",2,0.37,119.5,60000,132.7004096017636,130.44449289320312,109.01970951096278,158.21121660686384,20.742051665144242,0.10876053849347063
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,rj harvey,saints,12,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,saints",1,0.0,119.9,60000,131.47427113722037,129.9818603880089,108.12842141675516,156.93540802766273,19.160822083883804,0.07788865961376165
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,alec pierce,kyle pitts sr,rj harvey,chargers,67,"drake maye,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,alec pierce,kyle pitts sr,chargers",2,0.77,119.1,59900,131.94009782582623,129.90045469766545,108.50492419377078,156.19763895873692,20.07277049420029,0.10161243704500575
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,rj harvey,raiders,48,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,raiders",2,0.58,119.3,59800,131.9250925481957,129.66449136336712,109.53936773226543,158.00520528851595,19.58971155052365,0.11539736963447762
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,michael pittman,brenton strange,rj harvey,titans,40,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,michael pittman,brenton strange,titans",2,0.5,119.4,60000,131.99005872300913,129.45201029565158,104.83644824989005,162.17037169892615,23.244436620996847,0.10918950064227052
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,rj harvey,chargers,16,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,chargers",1,0.0,119.8,60000,132.07824938994287,129.38304817445783,107.03956684577136,160.39555953948593,21.609137196265106,0.12472507305617353
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,hunter henry,rj harvey,titans,9,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,hunter henry,titans",1,0.0,119.9,59900,131.76171682873743,129.34225871562316,109.9530251609961,155.77963582537302,19.27455603567313,0.1255260099706768
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,khalil shakir,hunter henry,rj harvey,giants,95,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,khalil shakir,hunter henry,giants",2,1.05,119.1,59900,131.06086659121266,129.27189132121458,105.309476766022,158.42112568196833,21.36071770777038,0.08375070980631429
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,courtland sutton,kyle pitts sr,rj harvey,raiders,55,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,courtland sutton,kyle pitts sr,raiders",2,0.65,119.3,60000,131.4719745573816,129.18981171165692,105.57952226847542,160.0861719879371,21.313918988041294,0.10707382565379689
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,hunter henry,rj harvey,saints,51,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,hunter henry,saints",2,0.6100000000000001,119.3,60000,131.6128993720301,129.16249420215854,106.75923113362812,159.2960955070734,21.448799762343935,0.11424439581806191
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,titans,1,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,titans",1,0.0,120.6,60000,131.50475495025503,129.11187076749522,105.76279842517967,157.8278729074876,21.725830854233237,0.11014005396684591
matthew stafford,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,titans,60,"matthew stafford,devon achane,christian mccaffrey,treveyon henderson,wandale robinson,troy franklin,michael pittman,kyle pitts sr,titans",2,0.7,119.2,59900,131.08661197565502,129.08731063901496,107.60142323941577,158.15914819524787,20.333956447769694,0.0983232821303377
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,alec pierce,kyle pitts sr,rj harvey,saints,52,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,alec pierce,kyle pitts sr,saints",2,0.6200000000000001,119.3,60000,131.86601295473153,129.07600341156623,106.66937905966854,159.4417929318028,21.68218563930903,0.12867750463805222
drake maye,devon achane,christian mccaffrey,troy franklin,michael pittman,alec pierce,hunter henry,rj harvey,chargers,83,"drake maye,devon achane,christian mccaffrey,rj harvey,troy franklin,michael pittman,alec pierce,hunter henry,chargers",2,0.93,119.1,60000,130.62076933169521,129.03175955728284,105.28031233668634,158.0312868357965,21.728444578484552,0.07313039682489782
drake maye,devon achane,christian mccaffrey,jaylen waddle,michael pittman,khalil shakir,kyle pitts sr,rj harvey,saints,66,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,michael pittman,khalil shakir,kyle pitts sr,saints",2,0.76,119.2,59900,131.02368583156618,128.96569520630527,105.7677752139194,158.2470112021672,21.420700139933096,0.0960748533809288
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rj harvey,seahawks,87,"bo nix,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,seahawks",2,0.97,119.1,59900,131.6975040878501,128.63464093850558,108.38352491467141,160.27876698957544,21.05663356232529,0.14545834880389474
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,rj harvey,cardinals,13,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,cardinals",1,0.0,119.8,59900,130.4919733020125,128.47822901880608,105.01171203334535,157.80859682432444,21.145313823614185,0.09523359643674606
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,rj harvey,dolphins,73,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,dolphins",2,0.8300000000000001,119.1,59800,130.6769462742847,128.44055745043048,105.41101306820138,159.33137486117724,21.20469356014153,0.10546668913235106
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,alec pierce,kyle pitts sr,rj harvey,dolphins,38,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,alec pierce,kyle pitts sr,dolphins",2,0.48,119.4,59900,129.79808771294842,128.39337502899497,106.581221227377,154.42664803198736,19.301290718587225,0.07277817346177291
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,rams,97,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rams",2,1.07,119.0,59900,130.47442211637463,128.2036084120265,104.43993180264016,158.74196858410642,21.677959153817138,0.1047521903808118
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,titans,10,"bo nix,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,titans",1,0.0,119.9,59900,130.75706500509267,128.17836035263224,106.11739011688141,158.8771157642839,20.80862105025277,0.12392482165122162
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,treveyon henderson,dolphins,99,"bo nix,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,dolphins",2,1.09,119.0,60000,131.12111433576362,128.0346963555427,105.84024420303555,160.32502033657875,22.02860871531122,0.14010952848218997
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,rj harvey,dolphins,5,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,dolphins",1,0.0,120.1,60000,129.95668492231226,127.90560984145287,105.99972333332936,157.89974729802324,20.69563163867764,0.09910666737159059
