QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,cvar_score,actual_only,actual_with_consensus,mean,median,std,p10,p80,p90,lineup_id,player_ids,total_salary,strategy,anchor_player,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,170.16363047822307,129.04000000000002,129.04000000000002,126.064421913463,120.68121144717088,27.598249043952876,98.1462549958039,146.09658785811936,165.45145565074958,41,"123617-138820,123617-55050,123617-30231,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Jacoby Brissett,9,0,0,2.975578086537027,8.35878855282914,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Darnell Mooney,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,167.75709445477236,119.74000000000001,119.74000000000001,124.01931592973624,116.97897046775054,27.06919066218573,95.86348992858257,144.39063030752592,161.36732466128396,43,"123617-138820,123617-55050,123617-30231,123617-90573,123617-103539,123617-69777,123617-110484,123617-86080,123617-12539",59800,qb_anchor,Jacoby Brissett,9,0,0,-4.279315929736228,2.7610295322494665,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,166.93352286444366,125.92,125.92,125.98342653082145,124.71141484699145,26.584997031081457,96.03683923135084,146.16229711797854,161.10473302641083,30,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12539",60000,qb_anchor,Matthew Stafford,9,0,0,-0.06342653082144523,1.2085851530085563,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,166.7371523299155,130.94,130.94,124.7998739735826,118.1406006964254,26.1848058003728,97.71412115222074,146.96819240429443,162.42562636274928,40,"123617-138820,123617-55050,123617-30231,123617-90573,123617-57403,123617-103539,123617-110484,123617-86080,123617-12539",60000,qb_anchor,Jacoby Brissett,9,0,0,6.140126026417391,12.799399303574603,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Darnell Mooney,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,166.15569162950175,127.54,127.54,122.9336720570463,116.87968200767476,26.14845079816372,96.11615998979538,144.63806156404516,162.4315464240306,44,"123617-138820,123617-55050,123617-30231,123617-90573,123617-57403,123617-69777,123617-110484,123617-86080,123617-12539",60000,qb_anchor,Jacoby Brissett,9,0,0,4.606327942953712,10.660317992325247,True,False,False
Daniel Jones,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,Kenneth Gainwell,Miami Dolphins,164.21239305748736,105.34,105.34,121.24089167047966,115.6318236898205,26.36308461776815,95.31816097429206,141.7649699142318,161.16477124553907,58,"123617-138820,123617-55050,123617-63519,123617-90573,123617-167620,123617-103539,123617-90912,123617-86080,123617-12539",60000,qb_anchor,Daniel Jones,9,0,0,-15.900891670479652,-10.29182368982049,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Bhayshul Tuten,Los Angeles Chargers,163.69159517479633,101.88,101.88,123.91217897836128,120.16300764723812,26.06233853541064,94.95897327500036,146.66159340855836,157.1965730648566,45,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-151903,123617-160620,123617-86080,123617-12548",60000,qb_anchor,Drake Maye,9,0,0,-22.032178978361287,-18.283007647238122,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Khalil Shakir,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,163.0982960076908,112.52000000000001,112.52000000000001,125.4002586726686,123.4496597273411,25.37179110129919,96.6122549866559,143.5936936619997,155.98764388256944,34,"123617-138820,123617-55050,123617-6654,123617-167620,123617-103539,123617-86518,123617-110484,123617-86080,123617-12539",59900,qb_anchor,Matthew Stafford,9,0,0,-12.880258672668589,-10.92965972734109,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Jerry Jeudy,Kyle Pitts Sr.,TreVeyon Henderson,Los Angeles Chargers,162.80309626059528,99.44,99.44,123.65945012387834,118.56996997011504,25.229568307025144,97.40179416832753,143.63338993435912,158.6062597432147,20,"123617-138820,123617-55050,123617-152647,123617-129471,123617-167620,123617-103539,123617-90561,123617-86080,123617-12548",60000,qb_anchor,C.J. Stroud,9,0,0,-24.219450123878346,-19.12996997011504,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Khalil Shakir,Alec Pierce,Kyle Pitts Sr.,TreVeyon Henderson,Los Angeles Chargers,162.74505096314195,101.33999999999999,101.33999999999999,123.82807065233035,118.83129500477318,25.203360510060833,99.01404305685908,143.88267769224433,157.0549034671018,23,"123617-138820,123617-55050,123617-152647,123617-129471,123617-103539,123617-86518,123617-86312,123617-86080,123617-12548",59900,qb_anchor,C.J. Stroud,9,0,0,-22.488070652330364,-17.491295004773193,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Rams,162.71045278776415,102.04,102.04,122.7919640998019,117.26376020162532,25.31174254122012,95.65947187900976,143.20393951897958,155.02600938858345,24,"123617-138820,123617-55050,123617-129471,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12538",59500,qb_anchor,C.J. Stroud,9,0,0,-20.751964099801896,-15.22376020162531,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Woody Marks,Seattle Seahawks,162.38840282661914,117.54,117.54,122.8243042411765,118.03843671818775,24.94097480723937,97.6834347504812,142.53180985821106,155.47982473474346,22,"123617-138820,123617-55050,123617-129471,123617-167620,123617-103539,123617-138774,123617-151903,123617-86080,123617-12550",60000,qb_anchor,C.J. Stroud,9,0,0,-5.2843042411765,-0.4984367181877474,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,Ashton Jeanty,Miami Dolphins,162.02775140084503,123.54,123.54,123.69482751525253,119.020773151826,24.113510415734435,98.27983402724053,143.75082606208375,155.14616095595764,19,"123617-138820,123617-55050,123617-102965,123617-167031,123617-167620,123617-103539,123617-86312,123617-86080,123617-12539",59600,qb_anchor,Bo Nix,9,0,0,-0.1548275152525207,4.519226848174,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Alec Pierce,Tre Tucker,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,161.98369043056906,114.32,114.32,124.42355384674237,121.26795659593066,25.048812927687536,96.4879334792789,142.35402296242816,154.12005885640446,33,"123617-138820,123617-55050,123617-6654,123617-152647,123617-167620,123617-86312,123617-103619,123617-86080,123617-12539",60000,qb_anchor,Matthew Stafford,9,0,0,-10.103553846742372,-6.947956595930663,True,False,False
