QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,giants,39,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,giants",2,0.8066666666666666,119.4,60000,132.54993916005327,130.7199583064573,106.90362823762408,159.3073402768745,20.43099974644023,0.08956883541221787
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,titans,1,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,titans",1,0.0,120.6,60000,132.46064686369874,130.5810851696206,107.55770110773605,159.82648660644773,20.809252717860335,0.09032336334043091
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,hunter henry,rj harvey,titans,9,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,hunter henry,titans",1,0.0,119.9,59900,132.28955329706537,130.41632739205,108.3158895676234,158.74081523492373,19.898356563864343,0.09413972953008468
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,rj harvey,titans,27,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,titans",2,0.4866666666666667,119.5,60000,131.9388569021015,130.1411184718505,108.94685968744992,157.35795556696922,19.239425203137213,0.0934403398890451
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,dolphins,33,"drake maye,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,dolphins",2,0.6466666666666667,119.5,59900,132.0297038045543,129.7021740442155,105.87116641034022,159.38470707708467,22.154991535955617,0.10505667567335396
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,rj harvey,saints,12,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,saints",1,0.0,119.9,60000,131.34494248960792,129.506925735531,108.95214779276984,157.45320247942854,19.565753812106202,0.09394050296900092
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,rj harvey,raiders,48,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,raiders",2,1.0466666666666666,119.3,59800,131.90874164179962,129.05852277009984,108.43463971273813,158.170724684016,20.465354205526545,0.13927043935208785
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,hunter henry,rj harvey,raiders,32,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,hunter henry,raiders",2,0.6200000000000001,119.5,59900,131.38033773982465,128.51974456989583,106.03278695684682,160.00841548417773,21.99682676567877,0.13004571979409996
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,rj harvey,cardinals,13,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,cardinals",1,0.0,119.8,59900,130.73859158362458,128.35769092624426,104.95165298128413,157.99651482199917,21.41302001725945,0.11118939110229456
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,rj harvey,chargers,16,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,chargers",1,0.0,119.8,60000,131.38999706198695,128.3280198323647,107.71268877423537,159.69939211039573,21.13296115553931,0.1448910641100406
