lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness,fitness
130,1,0.0,"123617-138820,123617-55050,123617-6654,123617-152647,123617-90573,123617-151903,123617-103619,123617-86080,123617-12534",59900,127.2,123.68227894110679,120.59333657842501,92.36408296405965,159.35236031043462,27.400903341014043,0.11273140612332319,159.35236031043462
131,3,2.6848901143233697,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-129112,123617-147315,123617-40845,123617-12548",60000,117.4,123.85071152561807,120.42401014196415,92.79532337905167,159.32424561221995,27.373648856927463,0.12518248486214228,159.32424561221995
132,3,1.791323049617508,"123617-138820,123617-152647,123617-151966,123617-90573,123617-167620,123617-86518,123617-110484,123617-86080,123617-12538",60000,117.4,124.85348579762507,121.77995081672029,94.31707897017168,159.31423237688756,27.00792477334793,0.11380122711011918,159.31423237688756
133,2,0.8134328358208955,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-138774,123617-151903,123617-55042,123617-12543",60000,117.6,121.63645909644461,117.71104336851485,89.38224102619337,159.30092959780833,28.10818024774469,0.13965385497500227,159.30092959780833
134,2,0.6164179104477612,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-167620,123617-151903,123617-103587,123617-12543",60000,117.7,123.31004493182238,119.62774502316657,92.3904342859017,159.29056223069935,27.749844294306445,0.13269623676451836,159.29056223069935
135,3,2.579653807594082,"123617-138820,123617-91750,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-107293,123617-12539",60000,117.4,122.55593837437748,119.14903224634156,91.08519342109776,159.2737610327861,27.887595637347786,0.12216564569924046,159.2737610327861
136,3,1.778720573864677,"123617-138820,123617-55050,123617-152647,123617-129471,123617-167620,123617-86518,123617-151903,123617-40845,123617-12546",60000,117.1,123.33989469553623,119.67779399759212,91.77406778586706,159.23102181314752,27.392786542013518,0.13368850563367796,159.23102181314752
137,2,0.5626865671641791,"123617-138820,123617-45889,123617-152647,123617-102965,123617-103539,123617-110484,123617-151903,123617-40845,123617-12539",60000,117.8,123.57724919474482,120.25953026691039,92.12285786337517,159.21829853472215,27.05688880916726,0.12262011908443606,159.21829853472215
138,3,1.590992109903151,"123617-62239,123617-138820,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-103587,123617-12537",60000,117.0,123.17792318543054,119.55438669860203,90.56365776376883,159.21525131569962,28.27985468526742,0.12813136867765515,159.21525131569962
139,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-138774,123617-86080,123617-12534",60000,130.4,123.09261396233602,120.20705982866228,90.93376257181464,159.20461504272924,27.336869525289114,0.10555539766557154,159.20461504272924
