QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,treveyon henderson,saints,,"tetairoa mcmillan,wandale robinson,troy franklin,drake maye,saints,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,136.96473518720063,136.48285555437892,111.71245352569497,160.83395838123474,19.50519029316996,0.024705200286636197,136.48285555437892,child_637964
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,treveyon henderson,giants,,"tetairoa mcmillan,wandale robinson,troy franklin,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,138.26813295066555,136.4716889592646,114.02531062155509,165.99061217308002,21.403373973377384,0.08393274787589303,136.4716889592646,child_397100
drake maye,devon achane,christian mccaffrey,khalil shakir,wandale robinson,marvin harrison,darnell washington,treveyon henderson,panthers,mutated_298849,"khalil shakir,wandale robinson,marvin harrison,drake maye,panthers,darnell washington,devon achane,christian mccaffrey,treveyon henderson",,,,,138.1176379080468,136.09747976698978,112.61128734231103,167.37360259045124,21.974226700296214,0.09193307089299202,136.09747976698978,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,treveyon henderson,raiders,child_190319,"wandale robinson,tre tucker,marvin harrison,drake maye,raiders,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.31815307427115,136.0111617084125,111.35307441359801,164.83023504665877,21.154349857434745,0.06178357523000496,136.0111617084125,
drake maye,devon achane,christian mccaffrey,khalil shakir,wandale robinson,marvin harrison,hunter henry,treveyon henderson,giants,,"khalil shakir,wandale robinson,marvin harrison,drake maye,giants,hunter henry,devon achane,christian mccaffrey,treveyon henderson",,,,,137.9393465607831,135.84928376946573,111.58412446516041,167.0370161568681,21.433029748142093,0.09751597491710386,135.84928376946573,child_838142
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,taysom hill,treveyon henderson,dolphins,,"wandale robinson,tre tucker,marvin harrison,drake maye,dolphins,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,137.10292847013935,135.83412216057474,110.66134737333334,164.21515795549126,21.02557097761392,0.060345866988131616,135.83412216057474,child_187567
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,treveyon henderson,giants,child_864825,"wandale robinson,tre tucker,marvin harrison,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,138.47332051055128,135.8221304009706,112.35340491941508,168.41689685182712,22.769629005051705,0.1164353669966465,135.8221304009706,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,treveyon henderson,dolphins,,"tetairoa mcmillan,wandale robinson,troy franklin,drake maye,dolphins,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.37932225570188,135.7966498832589,112.49252347230109,163.7707132956113,20.76596282064572,0.07621473591725124,135.7966498832589,child_588775
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,treveyon henderson,titans,child_525107,"wandale robinson,tre tucker,marvin harrison,drake maye,titans,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,138.36903435468082,135.77770067868238,114.63577477229593,164.73686322358,21.171891559346207,0.1223950004058335,135.77770067868238,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,treveyon henderson,saints,mutated_473099,"wandale robinson,tre tucker,marvin harrison,drake maye,saints,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.47377377520306,135.73153931398008,112.34312346895581,163.63598359739984,21.20605785033479,0.08215739452938785,135.73153931398008,
