id,name,position,team,opponent,game,salary,fppg,injury_status,fpProjPts,espnScoreProjection,espnSimulationProjection,espnOutsideProjection,espnLowScore,espnHighScore,tdOdds,tdProbability,espnOutsideProjection_fp,espnScoreProjection_fp,espnSimulationProjection_fp,espnLowScore_fp,espnHighScore_fp,consensus,floor_shootout,ceiling_shootout,floor_defensive,ceiling_defensive,floor_blowout_favorite,ceiling_blowout_favorite,floor_blowout_underdog,ceiling_blowout_underdog,floor_competitive,ceiling_competitive,mu_shootout,sigma_shootout,shift_shootout,mu_defensive,sigma_defensive,shift_defensive,mu_blowout_favorite,sigma_blowout_favorite,shift_blowout_favorite,mu_blowout_underdog,sigma_blowout_underdog,shift_blowout_underdog,mu_competitive,sigma_competitive,shift_competitive,td_odds_floor_mult,td_odds_ceiling_mult,game_id,shootout_prob,defensive_prob,blowout_prob,competitive_prob,is_favorite
123865-89675,Jonathan Taylor,RB,IND,JAC,IND@JAC,9700,24.59166717529297,,19.0,,,,,,320,23.81,,,,,,19.0,9.882000000000001,26.47575,10.431,28.997249999999998,10.431,32.7795,8.235,26.47575,9.333,30.258,2.8069354212644884,0.39357433712430945,0.0,2.8794549210024893,0.40797272651715766,0.0,2.9407560820486554,0.45580627664053175,0.0,2.715774642867511,0.4647074704666562,0.0,2.8451219106567756,0.46797236042329265,0.0,1.011905,1.035715,JAX@IND,0.25589659435594847,0.2495228259058379,0.08743730299730458,0.4071432767409091,True
123865-91626,James Cook III,RB,BUF,CIN,CIN@BUF,9300,19.241666158040363,,17.8,,,,,,425,19.05,,,,,,17.8,9.162720000000002,25.09353,9.67176,27.48339,9.67176,31.06818,7.635600000000001,25.09353,8.653680000000001,28.678320000000003,2.737703697102951,0.40035899440942085,0.0,2.810223196840952,0.4147573838022691,0.0,2.8715243578871186,0.46259093392564327,0.0,2.646542918705974,0.47149212775176774,0.0,2.7758901864952383,0.47475701770840417,0.0,1.009525,1.028575,CIN@BUF,0.4685293868961084,0.11162202482062322,0.24847225564099837,0.1713763326422698,True
123865-103020,Puka Nacua,WR,LAR,ARI,LAR@ARI,9300,17.199999722567473,,15.3,,,,,,500,16.67,,,,,,15.3,6.386850000000002,30.676344999999998,6.386850000000002,23.27171,6.812640000000002,23.27171,7.238430000000002,28.560735,7.238430000000002,26.445124999999997,2.655365485924497,0.618643730330385,0.0,2.5172387976104176,0.5108629027556618,0.0,2.5495080581792036,0.48568306494314856,0.0,2.6822175754104274,0.5419312077045024,0.0,2.6437370548423633,0.5119046979622185,0.0,1.008335,1.025005,ARI@LAR,0.3063117141622316,0.15947996934907177,0.493949934956998,0.04025838153169875,True
123865-138820,De'Von Achane,RB,MIA,NYJ,MIA@NYJ,9200,19.9499994913737,,19.5,,,,,,390,20.41,,,,,,19.5,10.181700000000001,27.051675000000003,10.74735,29.628024999999997,10.74735,33.49255,8.48475,27.051675000000003,9.61605,30.9162,2.829324954508414,0.3890437935328204,0.0,2.9018444542464152,0.4034421829256687,0.0,2.9631456152925812,0.4512757330490428,0.0,2.7381641761114364,0.4601769268751672,0.0,2.8675114439007006,0.4634418168318037,0.0,1.010205,1.030615,NYJ@MIA,0.19497581895052088,0.3513678698952266,0.08269967570372865,0.37095663545052393,True
123865-62239,Josh Allen,QB,BUF,CIN,CIN@BUF,9200,24.26499938964844,,24.5,,,,,,500,16.67,,,,,,24.5,10.98225,43.747899999999994,10.98225,35.935775,11.714400000000001,35.935775,11.714400000000001,42.185475000000004,12.44655,39.060625,3.1038609455530355,0.5456512055592889,0.0,3.0055057984300086,0.46890427647163196,0.0,3.037775058998794,0.44372443865911865,0.0,3.117946384036384,0.5062824559820663,0.0,3.1097781743765367,0.4526031243610653,0.0,1.008335,1.025005,CIN@BUF,0.4685293868961084,0.11162202482062322,0.24847225564099837,0.1713763326422698,True
123865-85701,Ja'Marr Chase,WR,CIN,BUF,CIN@BUF,9100,16.699999722567473,,16.0,,,,,,800,11.11,,,,,,16.0,6.736500000000001,31.7898,6.736500000000001,24.116400000000002,7.185600000000001,24.116400000000002,7.6347000000000005,29.5974,7.6347000000000005,27.405,2.694376638162499,0.6096489045506674,0.0,2.55624994984842,0.5018680769759444,0.0,2.5885192104172052,0.476688239163431,0.0,2.7212287276484295,0.5329363819247849,0.0,2.6827482070803654,0.5029098721825009,0.0,1.005555,1.016665,CIN@BUF,0.4685293868961084,0.11162202482062322,0.24847225564099837,0.1713763326422698,False
123865-136855,Bijan Robinson,RB,ATL,SEA,SEA@ATL,9000,20.491666158040363,,17.5,,,,,,450,18.18,,,,,,17.5,8.982900000000003,24.747975,9.481950000000001,27.104924999999994,9.481950000000001,30.640349999999998,7.485750000000001,24.747975,8.48385,28.283399999999997,2.7200100850999847,0.40235476612728216,0.0,2.792529584837985,0.4167531555201304,0.0,2.8538307458841516,0.4645867056435045,0.0,2.628849306703007,0.47348789946962894,0.0,2.7581965744922714,0.4767527894262654,0.0,1.00909,1.02727,ATL@SEA,0.20929869009750393,0.3030319432933151,0.3580654901890779,0.1296038764201031,False
123865-69531,Jalen Hurts,QB,PHI,LAC,PHI@LAC,9000,21.038333892822266,,19.2,,,,,,550,15.38,,,,,,19.2,8.334900000000001,35.60816,8.334900000000001,29.24956,8.89056,29.24956,8.89056,34.33644,9.44622,31.793,2.861747418549317,0.5724586798352033,0.0,2.7633922714262895,0.4957117507475463,0.0,2.795661531995075,0.470531912935033,0.0,2.875832857032665,0.5330899302579806,0.0,2.8676646473728176,0.47941059863697955,0.0,1.00769,1.02307,LAC@PHI,0.20221948685449184,0.3295274644285589,0.06197252047882672,0.4062805282381225,True
123865-111311,Rashee Rice,WR,KC,HOU,HOU@KC,8900,18.766666412353516,,14.9,,,,,,600,14.29,,,,,,14.9,6.187050000000001,30.040085,6.187050000000001,22.789030000000004,6.599520000000002,22.789030000000004,7.011990000000001,27.968355000000003,7.011990000000001,25.896625,2.6266595755965545,0.621966063343172,0.0,2.4885328872824752,0.5141852357684488,0.0,2.5208021478512608,0.4890053979559354,0.0,2.653511665082485,0.5452535407172893,0.0,2.6150311445144205,0.5152270309750053,0.0,1.007145,1.021435,HOU@KC,0.19505852745049113,0.36176756366040586,0.12058597810041272,0.3225879307886903,True
123865-39280,Derrick Henry,RB,BAL,PIT,PIT@BAL,8700,15.191666920979818,,14.5,,,,,,425,19.05,,,,,,14.5,7.1847,21.292425,7.58385,23.320275,7.58385,26.362050000000004,5.98725,21.292425,6.785550000000001,24.3342,2.533979706523861,0.4311539489900178,0.0,2.6064992062618626,0.44555233838286606,0.0,2.667800367308029,0.49338588850624027,0.0,2.4428189281268837,0.5022870823323645,0.0,2.572166195916148,0.5055519722890008,0.0,1.009525,1.028575,PIT@BAL,0.21030732243453845,0.33455411305577293,0.2376963248421554,0.2174422396675333,True
