game_id,favorite,underdog,spread,total,shootout_prob,defensive_prob,blowout_prob,competitive_prob,primary_script,script_strength
NO@TB,TB,NO,-7.5,41.5,0.14653447877801315,0.39022245740895156,0.3700878139141052,0.09315524989893008,defensive,0.39022245740895156
ATL@SEA,SEA,ATL,-7.0,44.5,0.20929869009750393,0.3030319432933151,0.3580654901890779,0.1296038764201031,blowout,0.3580654901890779
CIN@BUF,BUF,CIN,-6.0,54.5,0.4685293868961084,0.11162202482062322,0.24847225564099837,0.1713763326422698,shootout,0.4685293868961084
JAX@IND,IND,JAX,-2.5,44.5,0.25589659435594847,0.2495228259058379,0.08743730299730458,0.4071432767409091,competitive,0.4071432767409091
PIT@BAL,BAL,PIT,-5.5,43.5,0.21030732243453845,0.33455411305577293,0.2376963248421554,0.2174422396675333,defensive,0.33455411305577293
NYJ@MIA,MIA,NYJ,-2.5,41.5,0.19497581895052088,0.3513678698952266,0.08269967570372865,0.37095663545052393,competitive,0.37095663545052393
TEN@CLE,CLE,TEN,-4.5,33.5,0.1618514994281709,0.4619230546991885,0.13910014181140404,0.23712530406123652,defensive,0.4619230546991885
MIN@WAS,WAS,MIN,-1.5,43.5,0.23877322019874606,0.2639776831796673,0.06301791260740049,0.43423118401418626,competitive,0.43423118401418626
LV@DEN,DEN,LV,-8.5,40.5,0.10787868917105227,0.41982201230795435,0.41608102642715816,0.05621827209383513,defensive,0.41982201230795435
ARI@LAR,LAR,ARI,-9.5,48.5,0.3063117141622316,0.15947996934907177,0.493949934956998,0.04025838153169875,blowout,0.493949934956998
CHI@GB,GB,CHI,-6.5,44.5,0.2092019684965326,0.320705430262647,0.3107920757201413,0.15930052552067914,defensive,0.320705430262647
HOU@KC,KC,HOU,-3.5,41.5,0.19505852745049113,0.36176756366040586,0.12058597810041272,0.3225879307886903,defensive,0.36176756366040586
LAC@PHI,PHI,LAC,-1.5,41.5,0.20221948685449184,0.3295274644285589,0.06197252047882672,0.4062805282381225,competitive,0.4062805282381225
