QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,actual_total,players_actual,players_consensus,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,titans,child_587863,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,titans,wandale robinson,troy franklin,michael pittman",2,0.7,119.2,59900,136.6301111857036,134.84234476806571,111.1196020925873,164.74296118767268,21.194752245690847,0.0843494841040839,134.84234476806571,122.6,3,6,-14.030111185703618,-12.24234476806572,True,False,False
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,giants,child_312342,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,giants,tetairoa mcmillan,troy franklin,michael pittman",2,0.7,119.2,59900,136.85037946195723,134.71752783405796,108.99685507219678,167.21905052918515,23.49438095554923,0.0907813503124245,134.71752783405796,122.4,4,5,-14.450379461957226,-12.317527834057955,True,False,False
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,treveyon henderson,titans,child_143103,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,titans,tetairoa mcmillan,wandale robinson,michael pittman",2,0.7,119.2,59900,136.95873581779864,134.57060654117407,111.61309814424436,164.28545236120772,22.024601449194535,0.1084300790701438,134.57060654117407,122.80000000000001,4,5,-14.158735817798629,-11.770606541174061,True,False,False
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,raiders,child_742347,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,raiders,wandale robinson,troy franklin,michael pittman",2,0.58,119.3,59800,136.10969076827448,134.35680014477845,112.45226372544136,162.9696177249341,20.59568076258381,0.085109622920574,134.35680014477845,120.8,4,5,-15.309690768274479,-13.55680014477845,True,False,False
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,evan engram,treveyon henderson,giants,mutated_970505,"evan engram,drake maye,devon achane,christian mccaffrey,treveyon henderson,giants,jaylen waddle,tetairoa mcmillan,wandale robinson",2,0.7,119.2,59900,135.61718075042916,134.31136900044834,110.42586250066309,161.46225656003494,20.486404776648016,0.0637404056113,134.31136900044834,116.80000000000001,5,4,-18.817180750429145,-17.511369000448326,True,False,False
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,treveyon henderson,dolphins,child_403612,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,dolphins,jaylen waddle,tetairoa mcmillan,wandale robinson",2,0.6200000000000001,119.3,60000,135.70660721786186,134.04200335525695,110.98556492661751,161.61149737136228,20.193232711428916,0.0824337482954266,134.04200335525695,123.10000000000001,6,3,-12.60660721786185,-10.942003355256944,True,False,False
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,saints,child_505143,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,saints,wandale robinson,troy franklin,michael pittman",2,0.7,119.2,59900,135.92294705636246,133.9047172461063,111.73138591121312,162.10626493195582,20.798436732148183,0.0970375724025734,133.9047172461063,123.8,4,5,-12.122947056362463,-10.10471724610629,True,False,False
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,child_493064,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,dolphins,wandale robinson,troy franklin,michael pittman",2,0.7,119.2,59900,136.06654260517328,133.88983792583295,111.60174921508928,162.6251879736042,20.834983684541555,0.1044735485420769,133.88983792583295,127.8,4,5,-8.266542605173285,-6.089837925832953,True,False,False
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,treveyon henderson,giants,child_796310,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,giants,jaylen waddle,tetairoa mcmillan,wandale robinson",2,0.7,119.2,59900,135.90234437279267,133.76682844353076,111.9002569861535,160.8210068142766,20.695662564114667,0.1031866422563731,133.76682844353076,117.60000000000001,5,4,-18.30234437279266,-16.166828443530747,True,False,False
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,michael pittman,kyle pitts sr,treveyon henderson,titans,mutated_972432,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,titans,jaylen waddle,tetairoa mcmillan,michael pittman",2,0.7,119.2,59900,136.08722792576532,133.61385049909774,110.34262099388152,165.41490076678534,22.12309212672075,0.1118007108816485,133.61385049909774,117.60000000000001,5,4,-18.48722792576531,-16.013850499097728,True,False,False
