QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,actual_only,actual_with_consensus,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
,,,,,,,,,child_352426,"123617-40845,123617-86080,123617-90573,123617-167620,123617-103539,123617-152316,123617-12550,123617-138820,123617-55050,123617-152647",2,0.3299999999999999,119.5,60000,144.57446377497874,140.62094348916662,109.62438592472682,184.4705886515094,30.196066523944054,0.1309283208353367,184.4705886515094,0.0,0.0,0,0,0,-144.57446377497874,-140.62094348916662,False,False,True
,,,,,,,,,mutated_785995,"123617-40845,123617-55042,123617-90573,123617-167620,123617-151903,123617-152316,123617-12550,123617-138820,123617-55050,123617-152647",1,0.0,119.59999999999998,60000,143.31196269553715,139.72389822080925,108.50398281429422,183.24965170488696,29.927661739374795,0.1198912399496686,183.24965170488696,0.0,0.0,0,0,0,-143.31196269553715,-139.72389822080925,False,False,True
,,,,,,,,,child_929190,"123617-40845,123617-86080,123617-90573,123617-167620,123617-151903,123617-152316,123617-12550,123617-138820,123617-55050,123617-152647",2,0.3299999999999999,119.5,60000,143.08897975944242,139.85089537053278,106.88118969653152,182.97025934707253,30.46195530751041,0.1062992955055412,182.97025934707253,0.0,0.0,0,0,0,-143.08897975944242,-139.85089537053278,False,False,True
,,,,,,,,,child_502408,"123617-40845,123617-86080,123617-90573,123617-167620,123617-151903,123617-152316,123617-12548,123617-138820,123617-55050,123617-152647",2,0.3299999999999999,119.5,60000,142.95480021891143,139.48694222209485,107.84483197800355,182.6682053722946,29.937237961001152,0.1158376067068748,182.6682053722946,0.0,0.0,0,0,0,-142.95480021891143,-139.48694222209485,False,False,True
,,,,,,,,,child_200132,"123617-40845,123617-86080,123617-90573,123617-87770,123617-103539,123617-152316,123617-12550,123617-138820,123617-55050,123617-152647",2,0.3299999999999999,119.5,60000,143.49959304582197,139.6322554298904,108.15732406895148,182.6672999422816,30.31250845535841,0.1275822362780384,182.6672999422816,0.0,0.0,0,0,0,-143.49959304582197,-139.6322554298904,False,False,True
,,,,,,,,,child_986565,"123617-40845,123617-103587,123617-90573,123617-167620,123617-103539,123617-152316,123617-12550,123617-138820,123617-55050,123617-152647",2,0.3299999999999999,119.5,60000,143.59796223756274,140.11802939188664,108.99268868971572,182.56344794875395,30.09413018772377,0.1156349369119053,182.56344794875395,0.0,0.0,0,0,0,-143.59796223756274,-140.11802939188664,False,False,True
,,,,,,,,,child_655914,"123617-40845,123617-86080,123617-90573,123617-167620,123617-103539,123617-6654,123617-12548,123617-138820,123617-55050,123617-152647",1,0.0,119.59999999999998,60000,141.97918838142655,138.82778388326108,107.13920322496011,182.3157813410671,29.702740457073023,0.1060981057529,182.3157813410671,0.0,0.0,0,0,0,-141.97918838142655,-138.82778388326108,False,False,True
,,,,,,,,,child_199437,"123617-40845,123617-86080,123617-90573,123617-167620,123617-103539,123617-152316,123617-12548,123617-138820,123617-55050,123617-152647",2,0.3299999999999999,119.5,60000,142.8443506773165,139.68542745766462,108.01995256266036,182.2372412447157,29.62554937576667,0.1066283422995639,182.2372412447157,0.0,0.0,0,0,0,-142.8443506773165,-139.68542745766462,False,False,True
,,,,,,,,,child_113615,"123617-29780,123617-86080,123617-90573,123617-167620,123617-103539,123617-152316,123617-12548,123617-138820,123617-55050,123617-152647",1,0.0,119.59999999999998,60000,142.22681154792812,138.7000823142427,106.7647811564466,181.91706108766456,30.594347505953458,0.1152738829615221,181.91706108766456,0.0,0.0,0,0,0,-142.22681154792812,-138.7000823142427,False,False,True
,,,,,,,,,child_581921,"123617-40845,123617-103587,123617-90573,123617-167620,123617-103539,123617-6654,123617-12548,123617-138820,123617-55050,123617-152647",1,0.0,119.59999999999998,60000,141.5480157481638,137.61621508035864,107.30341427075813,181.8092433171155,29.716364914287272,0.1323109565771552,181.8092433171155,0.0,0.0,0,0,0,-141.5480157481638,-137.61621508035864,False,False,True
