QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness
,,,,,,,,,4,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",1,0.0,120.1,60000,126.27715123618322,123.25920867274351,93.95543452138071,162.46087128215407,27.872228167094786,0.10827776471070248
,,,,,,,,,11,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,126.08368823645473,122.96711165983271,94.32453854895122,162.2147630277945,27.292849925601555,0.11419022143592912
,,,,,,,,,16,"123617-138820,123617-55050,123617-6654,123617-167620,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",1,0.0,119.59999999999998,60000,126.1916229925172,122.96244894638357,94.20918579355903,162.5130363967597,27.623973900772036,0.11689752016611095
,,,,,,,,,19,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.5,59900,125.79821072826246,122.8215994550273,94.44012246664421,162.1092283763529,26.888868091750812,0.11070050487355225
,,,,,,,,,14,"123617-138820,123617-55050,123617-89951,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.7,60000,125.89423530458347,122.80549825720281,94.75360703757235,161.32025687579633,26.729480216266985,0.11555544748307237
,,,,,,,,,9,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",1,0.0,119.89999999999998,60000,126.27658776820236,122.78490683449088,93.94029082389514,162.8924996376128,27.831588524919667,0.12545747902909385
,,,,,,,,,60,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",2,0.7,119.09999999999998,59900,125.88642252167021,122.68119273928403,93.57655320914756,161.99110118222396,27.507461347130523,0.1165221952668686
,,,,,,,,,23,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-103619,123617-86080,123617-12548",2,0.3299999999999999,119.5,60000,125.89253155235478,122.64702252426093,94.17366879332323,162.19078263466122,27.525062415217985,0.11791105063214972
,,,,,,,,,89,"123617-138820,123617-55050,123617-102965,123617-103539,123617-86518,123617-110484,123617-151903,123617-86080,123617-12550",2,0.99,118.89999999999998,60000,125.6697323405134,122.45377990766244,93.88488948212678,162.40879341940501,27.820089198386345,0.11559820710558702
,,,,,,,,,1,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",1,0.0,120.5,60000,125.3828304555043,122.45047269743867,93.18728618090414,161.20996314505055,27.4358613854002,0.10688046993946645
,,,,,,,,,35,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12539",2,0.45,119.3,59900,125.71078273282056,122.439869414382,94.16151048739331,161.61992675738787,27.51262345913267,0.11888772887460854
,,,,,,,,,3,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12534",1,0.0,120.2,59900,125.67856339140856,122.38908617109556,93.63956986282092,162.66909947177956,28.132718676521673,0.11692710036795186
,,,,,,,,,10,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,125.55077597762313,122.37356597816427,94.12610455888465,161.48850224045998,27.192189052177685,0.11684274456029572
,,,,,,,,,41,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-40845,123617-12542",2,0.51,119.29999999999998,60000,125.38138909197053,122.30514782855036,93.24617053357038,162.46241746036492,28.234022811480727,0.10895511716344185
,,,,,,,,,25,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12548",2,0.35,119.4,59800,125.05347134074809,122.27491779480954,93.67168602320582,160.3090952332024,26.50922831691064,0.10481457674745169
,,,,,,,,,65,"123617-138820,123617-55050,123617-90573,123617-129471,123617-103539,123617-110484,123617-151903,123617-40845,123617-12548",2,0.75,119.09999999999998,59900,125.24588757011497,122.17286613497498,93.8355022601404,160.38792607829433,27.03780491648774,0.11365646895640015
,,,,,,,,,0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,120.59999999999998,60000,125.95348150394433,122.15906381466661,93.47531340430952,162.86112783442542,28.298190519789706,0.1340869369942287
