Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123617-25079,WR,Stefon,Stefon Diggs,Diggs,10.450000127156576,12,6900,NYG@NE,NE,NYG,,,,,,WR/FLEX
123617-29253,WR,Keenan,Keenan Allen,Allen,10.381817904385654,11,6900,LV@LAC,LAC,LV,,,,,,WR/FLEX
123617-119606,QB,Bryce,Bryce Young,Young,13.82181757146662,11,6900,LAR@CAR,CAR,LAR,,,,,,QB
123617-103342,RB,Kenneth,Kenneth Walker III,Walker III,10.809091047807174,11,6900,MIN@SEA,SEA,MIN,,,,,,RB/FLEX
123617-129471,QB,C.J.,C.J. Stroud,Stroud,16.122499465942383,8,6800,HOU@IND,HOU,IND,,,,,,QB
123617-22038,QB,Kirk,Kirk Cousins,Cousins,6.465000152587891,4,6800,ATL@NYJ,ATL,NYJ,,,,,,QB
123617-89628,QB,Davis,Davis Mills,Mills,13.391999816894531,5,6800,HOU@IND,HOU,IND,,,,,,QB
123617-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,11.858333587646484,12,6800,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
123617-137059,RB,Sean,Sean Tucker,Tucker,6.190908952192827,11,6800,ARI@TB,TB,ARI,,,,,,RB/FLEX
123617-39793,TE,George,George Kittle,Kittle,11.299999782017299,7,6800,SF@CLE,SF,CLE,,,,,,TE/FLEX
123617-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.984999656677246,4,6700,ATL@NYJ,NYJ,ATL,,,,,,QB
123617-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.61111111111111,9,6700,ARI@TB,ARI,TB,,,,,,WR/FLEX
123617-128633,RB,Kimani,Kimani Vidal,Vidal,9.612500190734863,8,6700,LV@LAC,LAC,LV,,,,,,RB/FLEX
123617-29358,QB,Marcus,Marcus Mariota,Mariota,15.15000025431315,6,6700,DEN@WAS,WAS,DEN,,,,,,QB
123617-26483,QB,Geno,Geno Smith,Smith,13.425453879616477,11,6700,LV@LAC,LV,LAC,,,,,,QB
123617-57403,WR,Courtland,Courtland Sutton,Sutton,10.581818320534445,11,6600,DEN@WAS,DEN,WAS,,,,,,WR/FLEX
123617-174215,RB,Omarion,Omarion Hampton,Hampton,14,5,6600,LV@LAC,LAC,LV,IR,Ankle,,,,RB/FLEX
123617-61593,WR,Jauan,Jauan Jennings,Jennings,8.44000015258789,10,6600,SF@CLE,SF,CLE,,,,,,WR/FLEX
123617-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8.824999809265137,8,6500,JAC@TEN,JAC,TEN,,,,,,WR/FLEX
123617-88431,QB,Tyler,Tyler Shough,Shough,8.691999816894532,5,6500,NO@MIA,NO,MIA,,,,,,QB
123617-53729,QB,Mason,Mason Rudolph,Rudolph,4.5,4,6500,BUF@PIT,PIT,BUF,,,,,,QB
123617-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,8.928571428571429,7,6500,MIN@SEA,MIN,SEA,,,,,,RB/FLEX
123617-56250,WR,Terry,Terry McLaurin,McLaurin,8.199999809265137,4,6500,DEN@WAS,WAS,DEN,,,,,,WR/FLEX
