team,team_abbr,opponent,opponent_abbr,spread,spread_odds,total,total_over_odds,total_under_odds,moneyline,projected_pts
rams,LAR,panthers,CAR,-10.0,-110,44.5,-115,-105,-575,27.25
panthers,CAR,rams,LAR,10.0,-110,44.5,-115,-105,425,17.25
49ers,SF,browns,CLE,-5.5,-108,35.5,-108,-112,-250,20.5
browns,CLE,49ers,SF,5.5,-112,35.5,-108,-112,205,15.0
texans,HOU,colts,IND,3.0,-105,44.5,-108,-112,142,20.75
colts,IND,texans,HOU,-3.0,-115,44.5,-108,-112,-170,23.75
saints,NO,dolphins,MIA,5.5,-110,42.5,-105,-115,205,18.5
dolphins,MIA,saints,NO,-5.5,-110,42.5,-105,-115,-250,24.0
falcons,ATL,jets,NYJ,-3.0,-108,38.5,-115,-105,-162,20.75
jets,NYJ,falcons,ATL,3.0,-112,38.5,-115,-105,136,17.75
jaguars,JAX,titans,TEN,-6.0,-108,42.5,-115,-105,-270,24.25
titans,TEN,jaguars,JAX,6.0,-112,42.5,-115,-105,220,18.25
cardinals,ARI,buccaneers,TB,4.5,-115,44.5,-112,-108,170,20.0
buccaneers,TB,cardinals,ARI,-4.5,-105,44.5,-112,-108,-205,24.5
vikings,MIN,seahawks,SEA,12.5,-110,42.5,-110,-110,600,15.0
seahawks,SEA,vikings,MIN,-12.5,-110,42.5,-110,-110,-900,27.5
raiders,LV,chargers,LAC,10.0,-112,40.5,-112,-108,425,15.25
chargers,LAC,raiders,LV,-10.0,-108,40.5,-112,-108,-575,25.25
bills,BUF,steelers,PIT,-3.0,-115,44.5,-112,-108,-166,23.75
steelers,PIT,bills,BUF,3.0,-105,44.5,-112,-108,140,20.75
broncos,DEN,commanders,WAS,-6.0,-115,43.5,-105,-115,-290,24.75
commanders,WAS,broncos,DEN,6.0,-105,43.5,-105,-115,235,18.75
giants,NYG,patriots,NE,7.5,-115,46.5,-112,-108,320,19.5
patriots,NE,giants,NYG,-7.5,-105,46.5,-112,-108,-410,27.0
