name,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,name_norm
quentin johnston,13.07042004319173,7.167,19.378,10.02221681,12.43,quentin johnston
jauan jennings,14.202291939796575,7.357,20.83,12.24927963,13.141,jauan jennings
jakobi meyers,13.159699309310804,7.233,19.537,10.23021531,12.549,jakobi meyers
keenan allen,14.75104771642495,7.586,20.917,12.0106664,13.453,keenan allen
marvin harrison,15.029551923181192,7.49,21.199,13.66820346,13.671,marvin harrison
tre tucker,13.281315464501558,7.454,20.165,10.45779109,12.996,tre tucker
parker washington,12.046202189279064,6.967,19.304,9.03396433,12.071,parker washington
jayden higgins,13.24285253536054,6.945,19.618,10.5713193,13.281,jayden higgins
chimere dike,13.058328365400518,7.165,19.374,10.11140443,12.425,chimere dike
jordan addison,10.077887788692994,5.236,18.218,8.56099344,10.407,jordan addison
terry mclaurin,9.859908229316426,4.37,17.39,10.99458832,9.283,terry mclaurin
john metchie,11.71312342692711,6.896,19.206,8.91652043,11.934,john metchie
kayshon boutte,11.498960010627265,6.865,19.143,8.11820996,11.858,kayshon boutte
ricky pearsall,11.650613356641095,6.882,19.188,8.90483139,11.908,ricky pearsall
tez johnson,9.842924161878436,4.359,17.292,6.38315101,9.216,tez johnson
adonai mitchell,11.16941391151987,6.616,18.626,8.80872966,11.302,adonai mitchell
mack hollins,10.259996615359888,5.275,18.276,7.3294834,10.481,mack hollins
josh downs,11.645123684997367,6.881,19.187,8.93714971,11.905,josh downs
jerry jeudy,12.299363097336435,6.98,19.59,9.9729152,12.221,jerry jeudy
cooper kupp,11.003889873709763,6.581,18.569,8.41516519,11.235,cooper kupp
chris godwin,11.573525372679264,6.865,19.167,8.20635353,11.876,chris godwin
malik washington,11.278359130513772,6.679,18.616,8.2342348,11.342,malik washington
greg dortch,7.47844416007573,1.9,12.915,6.44311056,7.408,greg dortch
darius slayton,10.972782130076732,6.574,18.559,8.18370232,11.222,darius slayton
rashid shaheed,9.588977439268124,4.294,17.246,7.88077161,9.11,rashid shaheed
isaiah hodgins,8.605990881736165,3.206,13.739,9.84046144,8.473,isaiah hodgins
jalen coker,9.29195599251056,4.285,17.085,5.18528595,9.069,jalen coker
devaughn vele,6.842218953092132,2.15,12.018,7.8,5.557,devaughn vele
xavier legette,9.886962987212726,4.428,17.514,6.17210244,9.394,xavier legette
van jefferson,9.778610279513966,4.35,17.226,6.3,9.183,van jefferson
demario douglas,8.152761628366232,1.951,12.955,5.81610379,7.453,demario douglas
calvin austin,10.960381246236969,6.571,18.554,7.15386599,11.217,calvin austin
christian kirk,9.762353868332834,4.364,17.255,6.77962272,9.206,christian kirk
tyler lockett,10.086678890235348,5.238,18.221,6.01024311,10.41,tyler lockett
pat bryant,10.912915382691668,6.505,18.474,7.20852293,11.149,pat bryant
joshua palmer,5.1952403212657465,1.886,11.42,5.88919166,4.472,joshua palmer
